"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72.0,9.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
84.0,12.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0
96.0,15.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0
108.0,17.0,6.0,3.0,3.0,0.0,1.0,0.0,0.0
120.0,18.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0
132.0,19.0,8.0,3.0,5.0,0.0,2.0,0.0,0.0
144.0,21.0,6.0,3.0,3.0,0.0,6.0,0.0,0.0
156.0,22.0,6.0,3.0,3.0,0.0,7.0,0.0,0.0
168.0,24.0,10.0,4.0,6.0,0.0,7.0,0.0,0.0
180.0,26.0,8.0,4.0,4.0,0.0,9.0,0.0,0.0
192.0,28.0,10.0,6.0,4.0,0.0,10.0,0.0,0.0
204.0,28.0,11.0,6.0,5.0,0.0,10.0,0.0,0.0
216.0,28.0,8.0,4.0,4.0,0.0,14.0,0.0,0.0
228.0,31.0,10.0,4.0,6.0,0.0,15.0,0.0,0.0
240.0,37.0,8.0,3.0,5.0,0.0,18.0,0.0,0.0
252.0,38.0,8.0,2.0,6.0,0.0,20.0,0.0,0.0
264.0,39.0,6.0,2.0,4.0,0.0,22.0,0.0,0.0
276.0,44.0,6.0,2.0,4.0,0.0,23.0,0.0,0.0
288.0,47.0,8.0,4.0,4.0,0.0,25.0,0.0,0.0
300.0,50.0,8.0,5.0,3.0,0.0,27.0,0.0,0.0
312.0,58.0,10.0,6.0,4.0,0.0,27.0,0.0,0.0
324.0,62.0,11.0,7.0,4.0,0.0,29.0,0.0,0.0
336.0,70.0,12.0,6.0,6.0,0.0,32.0,0.0,0.0
348.0,77.0,15.0,8.0,7.0,0.0,33.0,0.0,0.0
360.0,83.0,18.0,9.0,9.0,0.0,34.0,0.0,0.0
372.0,95.0,19.0,10.0,9.0,0.0,37.0,0.0,0.0
384.0,104.0,21.0,9.0,12.0,0.0,43.0,0.0,0.0
396.0,115.0,24.0,7.0,17.0,0.0,47.0,0.0,0.0
408.0,119.0,28.0,8.0,20.0,0.0,48.0,0.0,0.0
420.0,129.0,31.0,7.0,24.0,0.0,54.0,0.0,0.0
432.0,136.0,33.0,7.0,26.0,1.0,60.0,1.0,0.0
444.0,141.0,42.0,12.0,30.0,2.0,63.0,2.0,0.0
456.0,154.0,42.0,12.0,30.0,3.0,70.0,3.0,0.0
468.0,166.0,43.0,14.0,29.0,3.0,74.0,3.0,0.0
480.0,173.0,44.0,14.0,30.0,3.0,84.0,3.0,0.0
492.0,186.0,39.0,13.0,26.0,4.0,94.0,4.0,0.0
504.0,199.0,34.0,12.0,22.0,4.0,106.0,4.0,0.0
516.0,206.0,41.0,12.0,29.0,5.0,109.0,5.0,0.0
528.0,215.0,47.0,17.0,30.0,5.0,114.0,5.0,0.0
540.0,232.0,48.0,21.0,27.0,4.0,126.0,6.0,0.0
552.0,251.0,52.0,23.0,29.0,4.0,132.0,6.0,0.0
564.0,262.0,52.0,22.0,30.0,4.0,142.0,6.0,0.0
576.0,280.0,51.0,23.0,28.0,3.0,153.0,6.0,0.0
588.0,302.0,49.0,22.0,27.0,3.0,163.0,6.0,0.0
600.0,316.0,57.0,25.0,32.0,3.0,172.0,7.0,0.0
612.0,327.0,61.0,26.0,35.0,4.0,185.0,8.0,0.0
624.0,350.0,70.0,27.0,43.0,5.0,194.0,9.0,0.0
636.0,379.0,75.0,29.0,46.0,3.0,205.0,9.0,1.0
648.0,404.0,88.0,33.0,55.0,5.0,214.0,11.0,1.0
660.0,429.0,89.0,32.0,57.0,5.0,225.0,11.0,1.0
672.0,453.0,80.0,27.0,53.0,5.0,244.0,11.0,1.0
684.0,465.0,88.0,34.0,54.0,7.0,259.0,13.0,1.0
696.0,483.0,98.0,44.0,54.0,8.0,277.0,14.0,1.0
708.0,521.0,100.0,45.0,55.0,7.0,298.0,14.0,1.0
720.0,560.0,110.0,53.0,57.0,9.0,315.0,17.0,1.0
732.0,591.0,122.0,60.0,62.0,10.0,324.0,19.0,2.0
744.0,636.0,115.0,51.0,64.0,10.0,345.0,19.0,2.0
756.0,660.0,103.0,45.0,58.0,11.0,374.0,20.0,2.0
768.0,695.0,113.0,52.0,61.0,9.0,400.0,20.0,3.0
780.0,735.0,119.0,50.0,69.0,9.0,424.0,21.0,3.0
792.0,758.0,150.0,58.0,92.0,9.0,439.0,22.0,3.0
804.0,798.0,152.0,54.0,98.0,9.0,459.0,23.0,3.0
816.0,833.0,175.0,67.0,108.0,10.0,482.0,25.0,3.0
828.0,893.0,174.0,67.0,107.0,9.0,511.0,26.0,4.0
840.0,930.0,176.0,71.0,105.0,9.0,551.0,27.0,4.0
852.0,984.0,170.0,74.0,96.0,8.0,585.0,27.0,4.0
864.0,1027.0,168.0,69.0,99.0,9.0,616.0,28.0,4.0
876.0,1069.0,174.0,76.0,98.0,8.0,650.0,29.0,4.0
888.0,1108.0,194.0,79.0,115.0,8.0,683.0,30.0,4.0
900.0,1145.0,202.0,82.0,120.0,9.0,724.0,32.0,4.0
912.0,1196.0,212.0,90.0,122.0,9.0,758.0,34.0,5.0
924.0,1256.0,236.0,98.0,138.0,10.0,782.0,36.0,6.0
936.0,1314.0,248.0,105.0,143.0,11.0,817.0,37.0,6.0
948.0,1348.0,216.0,90.0,126.0,10.0,874.0,37.0,7.0
960.0,1402.0,212.0,84.0,128.0,15.0,926.0,42.0,7.0
972.0,1453.0,214.0,82.0,132.0,18.0,968.0,45.0,7.0
984.0,1493.0,232.0,80.0,152.0,22.0,1005.0,51.0,8.0
996.0,1540.0,243.0,91.0,152.0,23.0,1048.0,53.0,9.0
1008.0,1610.0,245.0,101.0,144.0,22.0,1088.0,54.0,11.0
1020.0,1673.0,247.0,108.0,139.0,22.0,1133.0,56.0,11.0
1032.0,1748.0,269.0,123.0,146.0,26.0,1169.0,61.0,12.0
1044.0,1815.0,252.0,115.0,137.0,26.0,1216.0,63.0,14.0
1056.0,1883.0,248.0,109.0,139.0,25.0,1273.0,64.0,14.0
1068.0,1941.0,256.0,104.0,152.0,27.0,1327.0,67.0,15.0
1080.0,1990.0,271.0,99.0,172.0,26.0,1376.0,70.0,17.0
1092.0,2033.0,282.0,108.0,174.0,20.0,1422.0,70.0,22.0
1104.0,2079.0,312.0,116.0,196.0,19.0,1469.0,71.0,22.0
1116.0,2140.0,334.0,121.0,213.0,18.0,1516.0,73.0,22.0
1128.0,2188.0,311.0,119.0,192.0,21.0,1581.0,77.0,23.0
1140.0,2256.0,308.0,127.0,181.0,16.0,1646.0,78.0,24.0
1152.0,2311.0,292.0,123.0,169.0,16.0,1713.0,80.0,25.0
1164.0,2366.0,279.0,116.0,163.0,18.0,1774.0,83.0,25.0
1176.0,2403.0,273.0,117.0,156.0,15.0,1837.0,83.0,27.0
1188.0,2452.0,259.0,116.0,143.0,17.0,1896.0,86.0,27.0
1200.0,2496.0,262.0,122.0,140.0,18.0,1950.0,88.0,27.0
1212.0,2543.0,267.0,120.0,147.0,18.0,1992.0,89.0,28.0
1224.0,2601.0,272.0,118.0,154.0,21.0,2044.0,93.0,29.0
1236.0,2641.0,263.0,112.0,151.0,18.0,2107.0,95.0,30.0
1248.0,2684.0,258.0,103.0,155.0,16.0,2151.0,95.0,31.0
1260.0,2726.0,256.0,97.0,159.0,16.0,2203.0,98.0,32.0
1272.0,2771.0,252.0,91.0,161.0,19.0,2262.0,101.0,32.0
1284.0,2819.0,242.0,87.0,155.0,18.0,2315.0,102.0,32.0
1296.0,2856.0,228.0,78.0,150.0,19.0,2366.0,105.0,33.0
1308.0,2878.0,229.0,86.0,143.0,20.0,2414.0,108.0,33.0
1320.0,2916.0,219.0,88.0,131.0,20.0,2460.0,110.0,34.0
1332.0,2958.0,228.0,97.0,131.0,19.0,2502.0,112.0,36.0
1344.0,3005.0,222.0,91.0,131.0,17.0,2546.0,112.0,37.0
1356.0,3041.0,215.0,86.0,129.0,18.0,2586.0,113.0,37.0
1368.0,3073.0,197.0,75.0,122.0,17.0,2635.0,114.0,39.0
1380.0,3102.0,194.0,69.0,125.0,15.0,2673.0,116.0,40.0
1392.0,3134.0,208.0,81.0,127.0,15.0,2709.0,118.0,41.0
1404.0,3160.0,196.0,75.0,121.0,13.0,2758.0,118.0,41.0
1416.0,3197.0,196.0,83.0,113.0,11.0,2796.0,119.0,42.0
1428.0,3234.0,189.0,82.0,107.0,8.0,2833.0,120.0,45.0
1440.0,3260.0,179.0,79.0,100.0,8.0,2872.0,120.0,45.0
1452.0,3293.0,173.0,72.0,101.0,9.0,2911.0,121.0,45.0
1464.0,3313.0,165.0,59.0,106.0,11.0,2948.0,123.0,45.0
1476.0,3337.0,160.0,54.0,106.0,11.0,2984.0,126.0,47.0
1488.0,3359.0,164.0,58.0,106.0,10.0,3016.0,127.0,47.0
1500.0,3380.0,163.0,56.0,107.0,10.0,3046.0,128.0,48.0
1512.0,3401.0,151.0,51.0,100.0,11.0,3083.0,129.0,48.0
1524.0,3417.0,150.0,53.0,97.0,11.0,3113.0,129.0,48.0
1536.0,3442.0,144.0,54.0,90.0,11.0,3142.0,131.0,49.0
1548.0,3469.0,139.0,54.0,85.0,12.0,3168.0,132.0,49.0
