temp sur;temp centro;temp norte
24.4;24.2;23.7
21.9;23.2;23.3
23.8;23.7;23.7
23.6;24.0;24.0
22.9;24.9;25.3
24.9;23.5;24.9
19.1;21.4;20.7
22.5;24.6;23.1
26.3;25.5;27.1
25.1;24.6;26.4
23.0;25.7;24.2
25.9;27.7;27.1
27.5;27.7;27.8
27.2;28.9;27.9
26.4;26.0;28.5
21.4;21.4;20.9
19.7;21.4;20.7
22.0;22.8;22.6
25.8;26.7;27.1
29.2;28.5;27.3
25.4;25.5;24.8
24.2;23.9;24.7
25.8;25.8;25.2
24.9;25.9;25.2
25.9;27.9;25.4
26.2;27.9;27.1
25.5;26.0;26.0
20.8;22.4;23.6
25.1;25.1;27.0
25.6;24.5;27.4
18.9;18.8;19.0
21.8;22.9;22.0
24.4;25.4;25.6
26.9;27.9;27.7
22.8;28.1;28.4
29.9;28.3;30.1
28.1;25.4;30.3
30.4;27.4;30.3
29.2;26.1;26.8
22.6;24.2;23.7
19.3;20.3;21.4
20.4;20.7;22.1
22.6;23.2;23.8
24.4;25.1;26.2
27.2;26.8;27.8
25.4;26.4;25.7
27.3;27.9;27.5
28.3;25.5;24.9
25.1;23.4;24.4
19.5;20.3;20.2
23.2;22.7;22.5
17.3;17.9;19.1
15.2;17.3;17.1
18.1;19.1;19.2
20.8;21.0;21.9
23.5;23.3;23.1
19.2;21.0;21.1
20.7;21.8;21.3
23.2;23.3;22.7
24.6;25.6;23.8
26.2;26.0;24.9
26.4;25.9;25.9
25.6;25.5;25.2
25.5;26.0;25.6
25.6;25.8;25.2
24.4;25.3;23.7
24.2;24.7;24.6
25.4;26.0;26.7
29.8;27.9;27.0
27.9;27.1;28.3
26.1;28.2;28.1
20.9;25.8;29.0
25.7;27.9;29.8
30.1;29.5;30.0
22.8;21.8;22.4
18.1;19.6;20.5
21.5;22.6;24.2
22.1;20.0;22.8
20.4;20.5;21.2
18.9;21.1;20.6
21.4;22.9;19.9
21.1;22.0;21.5
22.8;23.4;23.5
23.9;25.6;24.8
26.2;26.8;25.4
24.7;24.3;25.4
26.7;22.2;25.3
25.4;20.9;22.8
24.0;22.6;23.1
23.6;24.5;24.3
25.2;25.6;25.4
23.9;25.3;25.0
18.9;20.8;22.1
15.1;17.0;17.6
17.1;17.1;17.0
19.8;19.9;18.7
20.9;21.6;21.6
12.7;14.0;15.4
12.4;13.8;13.7
12.9;15.1;14.4
15.8;16.2;15.7
16.6;17.4;17.2
18.5;18.3;18.3
20.4;18.4;18.3
13.6;14.5;14.9
12.9;15.9;13.7
12.6;16.0;13.9
14.8;17.0;14.5
17.9;17.4;18.0
19.3;19.1;19.6
19.4;20.7;20.0
21.5;22.8;19.8
20.6;21.3;22.0
20.0;22.4;22.2
24.3;24.4;23.6
25.2;25.3;25.5
21.6;18.8;21.8
20.5;19.4;21.0
20.8;20.0;21.1
14.7;16.3;17.7
14.9;17.6;15.3
16.1;18.0;17.9
16.4;16.6;16.0
15.6;15.4;15.8
17.1;17.9;17.6
15.2;15.3;15.2
11.9;11.8;12.3
11.9;11.7;11.3
12.0;12.9;10.6
12.7;15.3;14.5
16.1;19.1;18.9
20.9;21.8;21.8
15.1;17.0;18.4
12.6;15.9;17.8
11.1;12.7;13.3
11.3;14.3;11.3
14.8;17.7;15.1
19.4;20.2;17.6
19.6;18.8;17.3
19.5;20.6;19.3
20.7;21.6;21.5
17.7;17.5;18.7
13.2;11.0;14.6
13.0;10.9;14.4
 9.8;11.8;10.9
13.6;14.6;14.0
11.5;13.5;12.2
14.3;16.3;12.4
15.7;16.7;15.7
17.4;17.0;16.4
13.5;13.6;17.8
 9.6;10.6;11.2
 8.2; 8.9; 7.9
 7.9; 9.6; 8.7
 9.7;10.5;11.0
10.9;11.2;11.4
12.7;10.6;14.6
16.4;14.0;14.8
14.6;15.8;16.3
16.3;14.0;14.3
14.0;13.9;13.2
11.8;13.7;11.4
 9.9;11.2;13.6
16.9;15.6;17.5
 9.6;10.9;11.8
 5.7; 7.8; 6.9
10.8;11.6;11.3
20.9;19.9;19.7
22.9;23.6;21.8
16.7;16.2;18.4
12.6;12.4;14.4
13.4;14.1;17.9
14.3;16.0;18.9
11.2;13.0;14.8
15.5;16.4;21.5
13.1;12.5;17.8
 8.9; 9.7;11.0
 6.1; 8.4; 7.6
11.3;10.5; 9.4
 8.8; 9.8; 9.7
