temp sur;temp centro;temp norte
24.25;23.8;21.35
25.5;26.25;24.1
25.4;25;24.25
27.25;26.75;26.15
26.7;26.05;28.25
24.1;22.25;24.4
24.6;24.5;24.95
27.35;27.4;25.6
25.3;24.5;24.45
28.55;26.35;26.65
25.6;24.25;26.8
22.8;23;22.5
23.45;23.15;23
24.6;25;23.8
23.9;23.4;24.6
24.95;21.75;23.15
21.25;20;22.65
21.7;21.75;20.4
25.1;23.2;24.2
27;25.25;24.3
26.7;25.5;25.25
27.6;27.65;27.1
29.6;27.6;28.5
29.95;28;29.3
29.7;29.1;28.35
27;23.8;25.65
28.15;27;26.65
25;26.2;26.35
25.5;22;24.3
22.55;20.5;22.3
19.4;18.4;21.05
22.9;22.25;23.6
21.05;19.45;21.6
22.1;22.75;20.8
21.8;22.45;22.25
21.25;23;21.9
21.75;23.75;22.3
25.05;24.05;22.95
23.65;24.95;24.65
23;22.95;23.3
23.85;21.2;23.3
23.8;22.6;23
23.35;23.3;24.25
25.25;23.5;24.5
24.9;24.2;24.8
24.45;25.55;24.65
21.8;23.55;23.05
21.3;22.3;20.55
23.8;24.05;22.2
23.4;22.6;22.7
20.55;23.25;23.8
25.2;25.4;25.3
26.9;28.65;27.4
25.8;25.7;24.85
22.95;24.2;24.45
24.2;24.25;22.95
25.7;24.1;25.35
26.2;26.05;26
26.8;27.9;26.3
26.85;26.6;26.3
26.7;25.95;27.35
27.5;26.45;27.25
25.5;24;24.8
23.5;24.65;23.95
20;20.75;20.25
22.4;21.75;21.2
23.6;23.75;23.6
25.4;24.6;23.65
25.25;24.4;24.35
25.95;23.9;24.15
26.1;25.3;24.85
24.55;25.5;26.55
23.5;24.25;24.5
24.5;23.6;25.25
22.1;21.95;23.35
19.45;19.6;20.45
16.3;16.35;18.2
20.75;18.85;22.1
20.1;19.15;22.65
20.15;20.45;21.3
20;19.2;21.25
20.95;21.25;22.35
21.8;23.6;24.1
21.75;22.25;27.15
21.95;21.75;23.55
18;18.25;19.6
17.9;17.15;17.45
19.5;20.7;19.4
20.35;19.4;20.3
19.25;19.25;19
20.2;19.05;18.3
20.15;19.55;20.45
21.35;21.65;21.3
21.65;22.2;23.65
23.3;21.15;22.35
23.65;22;23.9
25.6;24.35;25.35
25.75;25.05;25.1
23.3;22.95;23.45
20;20.45;22.35
17.75;17.25;19
17.4;17.05;17
17.9;18.1;16.5
19;19.15;19.2
21.8;21.75;22.9
21.25;23;22.7
20.7;21.9;21.6
20.6;22.6;20.95
20.7;21.85;20.8
20.45;22.05;21.15
21.6;20.95;23.2
22.45;21.7;22.35
22.1;19.85;22.65
19;18.3;19.5
15.95;14.85;16.75
15.2;16.15;15.4
15.85;16.15;15.9
16.3;16.55;15.2
16.15;16;15
17.25;16.2;17.45
19.65;19.05;19.2
21.15;21.45;21.2
22.8;24.65;23.1
16.9;18.6;19.75
12.4;13.4;14.25
9.85;12.4;11.8
10.2;11.35;10.3
13.15;13.1;14.4
13.95;14.6;14.15
15;15.9;17.55
9.7;11.4;12.95
10.45;11.3;10.5
11.55;11.9;10.45
13;12.9;12.2
12.7;14.95;12.6
13.75;17;14.85
10.75;16.1;13.05
10.7;14.2;11.45
13.3;14.9;14
14.25;13.7;14.3
12.95;13.15;13.6
12.6;11.1;12.6
12.6;12.85;13.4
11.5;11.5;11.5
13.5;13;13.5
12.5;14.5;14
15;15;14
16;16.6;17.5
10;13;12
9.5;11.5;10.5
10;12.5;11.5
11;13.5;12
13;15;12.5
16;16;17
17;17.5;17
15;16.5;17
18;19;18
