day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,1,1,0
369,0,0,0,2,5,0
376,0,0,1,12,15,0
383,0,0,0,6,9,0
390,0,0,0,0,0,0
397,0,0,2,16,27,4
404,0,0,0,8,5,2
411,0,0,8,41,48,3
418,0,0,2,2,5,3
425,0,0,2,3,4,15
432,0,0,4,63,202,41
439,0,0,1,3,53,136
446,0,0,0,15,23,82
453,0,0,0,1,5,63
460,0,0,0,1,21,257
467,0,0,8,45,93,91
474,0,0,1,1,22,110
481,0,0,2,6,120,156
488,0,0,1,1,20,36
495,0,0,2,7,14,18
502,0,0,3,8,315,236
509,0,0,0,2,101,41
516,0,0,65,230,641,69
523,0,0,62,174,518,38
530,0,0,44,126,314,13
537,0,0,32,84,470,10
544,0,0,36,523,380,7
551,0,0,89,239,88,6
558,0,0,382,521,95,5
565,0,0,389,405,97,4
572,0,0,182,239,114,10
579,0,52,134,120,55,11
586,0,26,51,37,28,6
593,0,5,31,74,54,7
600,0,1,71,116,60,3
607,0,7,160,154,58,9
614,0,3,41,55,27,4
621,0,0,17,20,13,3
628,0,1,12,14,5,1
635,0,10,84,103,36,4
642,0,7,48,53,26,5
649,0,517,22,22,10,1
656,0,385,15,14,5,1
663,0,630,470,16,9,0
670,0,441,28,7,3,1
677,0,258,90,19,10,0
684,0,97,30,9,2,1
691,0,65,15,5,2,0
698,0,70,13,6,1,1
705,0,54,14,5,6,1
712,0,57,19,12,6,1
719,0,57,17,10,9,1
726,0,49,25,32,9,2
733,0,51,40,38,21,6
740,0,70,39,47,22,6
747,0,39,12,12,11,0
754,0,26,11,12,3,1
761,0,1,0,1,1,0
383,1,0,0,1,1,0
390,1,0,0,1,2,0
397,1,0,1,10,11,0
404,1,0,0,6,10,0
411,1,0,0,5,5,0
425,1,0,2,22,31,5
432,1,0,5,27,36,3
439,1,0,3,13,13,1
446,1,0,1,2,1,0
453,1,0,0,0,1,11
460,1,0,1,4,3,6
467,1,0,0,0,1,2
474,1,0,1,0,1,7
481,1,0,0,1,0,2
488,1,0,3,42,152,1
495,1,0,5,65,141,35
502,1,0,2,12,39,21
509,1,0,1,1,7,6
516,1,0,0,1,7,49
523,1,0,0,1,5,24
530,1,0,1,6,7,66
537,1,0,2,3,36,134
544,1,0,2,7,26,49
551,1,0,0,4,77,176
558,1,0,1,0,9,13
565,1,0,2,4,3,56
572,1,0,16,135,229,32
579,1,0,142,290,388,54
586,1,1,246,319,186,251
593,1,0,12,25,87,55
600,1,0,219,364,404,35
607,1,34,238,290,412,206
614,1,3,107,273,740,39
621,1,0,55,244,295,29
628,1,0,122,331,171,26
635,1,36,136,154,111,14
642,1,2,64,104,78,15
649,1,0,15,25,10,4
656,1,1,35,79,53,7
663,1,1,30,52,35,2
670,1,1,10,13,14,2
677,1,223,95,97,52,6
684,1,254,114,26,16,5
691,1,436,180,53,39,6
698,1,490,112,27,21,5
705,1,337,89,21,9,2
712,1,192,109,40,16,3
719,1,99,37,27,19,3
726,1,95,40,30,22,3
733,1,98,53,26,12,4
740,1,50,50,41,28,3
747,1,40,19,21,13,1
754,1,30,19,26,17,4
761,1,5,3,3,2,0
551,2,0,0,1,0,0
593,2,0,0,0,0,0
663,2,1,1,0,5,28
670,2,0,0,0,54,30
677,2,0,0,9,49,11
684,2,1,1,7,20,3
691,2,0,5,43,71,9
698,2,1,2,10,57,37
705,2,0,2,11,30,20
712,2,0,8,31,151,114
719,2,2,3,7,37,64
726,2,0,3,17,86,212
733,2,2,10,46,398,439
740,2,3,116,385,496,224
747,2,1,163,347,395,42
754,2,2,193,290,245,18
761,2,0,17,25,75,3
