type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,135,297,436,278
Cansino,0,0,7,9,4,3
Moderna,0,39,43,2,3,3
Pfizer,0,225,242,3,2,2
Sinopharm,0,734,427,489,252,93
Sputnik,0,2,146,200,303,621
AstraZeneca,1,0,142,312,451,283
Cansino,1,0,2,1,0,0
Moderna,1,40,49,10,102,303
Pfizer,1,231,240,5,1,1
Sinopharm,1,728,447,502,251,94
Sputnik,1,1,120,170,195,319
AstraZeneca,2,0,53,114,264,388
Cansino,2,0,0,0,4,2
Moderna,2,200,610,538,329,47
Pfizer,2,260,202,221,340,553
Sinopharm,2,540,1,1,0,0
Sputnik,2,0,134,126,63,10
