day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,2,11,9,0
369,0,0,4,33,36,0
376,0,0,10,36,38,0
383,0,0,2,12,13,2
390,0,0,3,12,32,7
397,0,0,2,12,16,4
404,0,0,8,50,74,15
411,0,0,1,6,8,3
418,0,0,17,32,33,61
425,0,0,14,55,85,293
432,0,0,13,114,405,19
439,0,0,4,29,101,414
446,0,0,3,7,28,264
453,0,0,1,9,17,194
460,0,0,2,19,282,1793
467,0,0,1,21,196,693
474,0,0,3,15,113,174
481,0,0,3,9,137,160
488,0,0,1,0,324,279
495,0,0,1,1,18,25
502,0,0,1,8,469,410
509,0,0,5,10,369,305
516,0,0,18,148,1390,84
523,0,0,173,540,1626,68
530,0,0,62,210,1414,49
537,0,0,64,204,1216,23
544,0,0,40,510,1223,23
551,0,0,24,1022,468,15
558,0,0,213,1827,249,20
565,0,0,1119,1188,214,21
572,0,0,833,771,149,17
579,0,35,402,405,138,18
586,0,66,89,47,31,9
593,0,10,123,204,91,20
600,0,6,192,235,117,20
607,0,14,221,191,47,10
614,0,3,28,35,15,2
621,0,7,49,76,46,8
628,0,3,22,31,21,2
635,0,11,19,9,5,1
642,0,2,12,16,16,4
649,0,1027,107,62,22,5
656,0,993,41,34,19,3
663,0,1484,753,16,8,2
670,0,571,50,30,15,9
677,0,381,93,12,6,5
684,0,119,16,12,6,1
691,0,63,17,0,0,0
383,1,0,1,5,7,0
390,1,0,2,28,25,0
397,1,0,5,22,37,0
404,1,0,7,26,21,1
411,1,0,4,19,27,7
418,1,0,2,14,25,5
425,1,0,1,5,2,1
432,1,0,8,49,78,16
439,1,0,7,18,13,5
446,1,0,8,15,16,2
453,1,0,2,2,1,0
460,1,0,3,4,3,8
467,1,0,0,1,2,0
474,1,0,0,1,2,4
481,1,0,1,5,7,2
488,1,0,10,83,267,163
495,1,0,11,90,480,1516
502,1,0,1,9,58,253
509,1,0,3,9,43,122
516,1,0,5,26,56,317
523,1,0,0,3,47,192
530,1,0,5,16,57,537
537,1,0,2,7,11,34
544,1,0,0,3,141,223
551,1,0,1,8,46,243
558,1,0,2,2,6,18
565,1,0,1,3,16,109
572,1,0,58,260,1727,46
579,1,0,48,216,387,21
586,1,1,159,1053,904,501
593,1,0,30,68,194,85
600,1,0,394,702,685,51
607,1,28,723,681,1135,602
614,1,31,310,600,2372,141
621,1,32,232,733,904,49
628,1,3,186,373,383,38
635,1,11,219,1254,323,26
642,1,0,409,480,130,11
649,1,1,71,86,24,4
656,1,11,181,246,127,18
663,1,8,114,111,29,4
670,1,13,98,129,62,12
677,1,699,59,50,29,6
684,1,894,88,23,22,4
691,1,328,148,19,1,0
663,2,0,0,0,0,0
670,2,2,2,2,288,1599
677,2,2,6,21,214,138
684,2,2,7,36,357,84
691,2,1,3,7,43,21
