type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,205,314,392,192
Cansino,0,0,0,0,0,0
Moderna,0,27,30,0,0,1
Pfizer,0,241,264,1,0,0
Sinopharm,0,730,357,413,260,394
Sputnik,0,2,144,272,348,413
AstraZeneca,1,0,218,320,401,193
Cansino,1,0,0,0,0,0
Moderna,1,27,33,7,79,118
Pfizer,1,251,271,4,0,0
Sinopharm,1,721,365,422,261,397
Sputnik,1,1,113,247,259,292
AstraZeneca,2,0,128,223,384,692
Cansino,2,0,0,0,0,0
Moderna,2,57,644,603,355,58
Pfizer,2,246,154,114,224,243
Sinopharm,2,695,1,1,0,0
Sputnik,2,2,73,59,37,7
