day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,5,12,19,0
369,0,0,6,25,30,0
376,0,0,5,23,34,0
383,0,0,5,26,32,0
390,0,0,3,8,25,5
397,0,0,1,5,8,2
404,0,0,1,7,19,4
411,0,0,9,37,67,21
418,0,0,17,85,121,159
425,0,0,17,57,102,115
432,0,0,17,145,484,50
439,0,0,8,95,136,532
446,0,0,5,24,28,361
453,0,0,1,10,27,356
460,0,0,4,25,40,928
467,0,0,3,34,48,896
474,0,0,3,14,160,771
481,0,0,3,16,267,301
488,0,0,2,6,301,237
495,0,0,1,2,65,58
502,0,0,3,12,708,608
509,0,0,4,17,521,362
516,0,0,61,310,1639,148
523,0,0,105,263,1496,57
530,0,0,76,267,1430,36
537,0,0,30,266,915,26
544,0,0,41,316,957,15
551,0,0,60,1033,252,15
558,0,0,240,1533,218,21
565,0,0,887,1192,181,19
572,0,1,373,432,143,14
579,0,56,452,484,117,14
586,0,88,42,68,57,33
593,0,8,69,130,46,8
600,0,3,178,229,94,20
607,0,27,337,289,45,15
614,0,11,28,32,12,5
621,0,10,47,63,30,5
628,0,3,30,39,14,4
635,0,5,19,34,11,1
642,0,8,25,31,14,4
649,0,596,14,20,12,3
656,0,1308,12,17,5,2
663,0,357,5,7,1,1
383,1,0,3,9,14,0
390,1,0,5,14,21,0
397,1,0,6,31,41,0
404,1,0,6,25,35,0
411,1,0,2,8,13,3
418,1,0,1,5,11,3
425,1,0,1,10,26,5
432,1,0,5,23,39,8
439,1,0,10,60,102,25
446,1,0,7,26,49,8
453,1,0,5,20,12,1
460,1,0,4,19,23,3
467,1,0,1,5,5,4
474,1,0,1,4,3,3
481,1,0,3,38,40,12
488,1,0,5,29,39,8
495,1,0,14,168,499,243
502,1,0,3,30,78,126
509,1,0,4,30,58,266
516,1,0,6,26,45,299
523,1,0,3,14,26,252
530,1,0,5,16,37,472
537,1,0,3,7,47,76
544,1,0,1,4,291,811
551,1,0,3,9,38,597
558,1,0,1,4,8,35
565,1,0,5,12,61,284
572,1,0,54,260,1446,86
579,1,0,61,314,832,34
586,1,1,169,577,506,970
593,1,0,22,110,170,99
600,1,0,290,617,722,66
607,1,1,379,454,1291,852
614,1,53,301,878,2302,212
621,1,41,238,1059,946,50
628,1,16,432,601,230,44
635,1,23,221,656,213,35
642,1,8,154,281,77,12
649,1,2,50,161,63,12
656,1,13,43,109,28,3
663,1,1,6,15,3,0
