day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,2,6,10,0
369,0,0,4,14,17,0
376,0,0,2,13,18,0
383,0,0,3,14,17,0
390,0,0,1,5,13,3
397,0,0,1,2,4,1
404,0,0,1,4,11,2
411,0,0,5,21,37,11
418,0,0,10,48,69,88
425,0,0,9,31,56,62
432,0,0,10,79,266,28
439,0,0,5,52,74,290
446,0,0,3,13,14,198
453,0,0,1,5,15,196
460,0,0,2,14,22,511
467,0,0,2,19,27,493
474,0,0,1,7,88,425
481,0,0,1,9,148,167
488,0,0,1,4,165,131
495,0,0,1,1,36,33
502,0,0,1,6,390,335
509,0,0,2,10,286,199
516,0,0,34,168,902,81
523,0,0,57,144,822,32
530,0,0,43,147,788,20
537,0,0,16,147,503,14
544,0,0,22,176,526,9
551,0,0,34,568,141,9
558,0,0,131,841,121,11
565,0,0,487,657,100,11
572,0,0,204,235,79,8
579,0,17,267,267,64,7
586,0,25,48,38,30,13
593,0,3,42,71,26,4
600,0,2,100,126,52,11
607,0,9,196,160,24,8
614,0,4,19,17,7,2
621,0,4,31,34,16,3
628,0,1,18,22,8,2
635,0,5,15,19,6,0
642,0,3,17,17,7,2
649,0,308,29,12,7,2
656,0,528,218,11,3,1
663,0,587,302,22,12,2
670,0,415,51,9,5,2
677,0,168,42,9,2,1
684,0,57,12,7,5,1
691,0,51,13,6,2,1
698,0,52,12,6,4,2
705,0,64,7,5,3,2
712,0,57,13,10,8,2
719,0,40,12,9,7,2
726,0,34,11,15,7,1
733,0,82,25,22,10,2
740,0,43,16,17,9,3
747,0,43,10,9,5,3
754,0,38,11,12,5,1
761,0,1,1,0,0,0
383,1,0,1,4,8,0
390,1,0,2,8,12,0
397,1,0,4,17,22,0
404,1,0,3,14,19,0
411,1,0,1,4,7,2
418,1,0,0,2,6,2
425,1,0,1,5,15,2
432,1,0,3,13,22,5
439,1,0,5,33,56,14
446,1,0,4,14,27,5
453,1,0,3,11,6,1
460,1,0,2,10,13,1
467,1,0,1,2,2,2
474,1,0,0,2,1,1
481,1,0,2,20,22,7
488,1,0,3,16,21,5
495,1,0,7,93,275,133
502,1,0,1,17,43,70
509,1,0,2,16,32,148
516,1,0,4,15,25,164
523,1,0,1,7,14,140
530,1,0,2,9,20,259
537,1,0,1,4,26,42
544,1,0,0,2,160,450
551,1,0,2,5,21,329
558,1,0,0,2,5,21
565,1,0,2,7,33,156
572,1,0,30,142,797,47
579,1,0,35,173,457,19
586,1,0,92,318,281,539
593,1,0,12,58,94,55
600,1,0,160,339,397,37
607,1,0,208,248,716,473
614,1,19,185,483,1269,117
621,1,13,143,580,521,28
628,1,5,243,330,128,24
635,1,7,129,358,119,20
642,1,2,87,155,42,7
649,1,1,28,90,42,8
656,1,4,29,62,16,2
663,1,7,109,116,31,5
670,1,3,54,55,11,3
677,1,231,54,48,21,4
684,1,276,39,19,11,2
691,1,482,328,14,10,2
698,1,291,90,23,13,2
705,1,265,31,12,6,3
712,1,181,49,22,15,4
719,1,86,39,21,11,3
726,1,89,46,19,14,2
733,1,108,49,30,13,4
740,1,47,19,16,9,1
747,1,43,18,15,9,2
754,1,54,19,17,10,2
761,1,0,0,0,0,0
551,2,0,0,0,0,0
663,2,0,0,0,0,1
670,2,0,0,0,66,256
677,2,1,2,8,27,22
684,2,0,6,26,90,21
691,2,0,13,71,104,21
698,2,0,7,30,163,100
705,2,0,9,64,127,103
712,2,0,5,32,77,613
719,2,0,4,25,84,278
726,2,0,3,16,87,104
733,2,1,8,36,271,564
740,2,1,34,143,603,468
747,2,1,65,204,577,295
754,2,1,114,222,417,89
761,2,0,1,16,28,2
