type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,159,339,459,320
Cansino,0,0,4,4,1,0
Moderna,0,27,28,0,0,1
Pfizer,0,253,256,1,0,0
Sinopharm,0,718,405,420,210,121
Sputnik,0,2,148,236,330,558
AstraZeneca,1,0,165,346,464,324
Cansino,1,0,0,0,0,0
Moderna,1,28,31,13,87,224
Pfizer,1,270,257,4,1,0
Sinopharm,1,701,419,425,210,120
Sputnik,1,1,128,212,238,332
AstraZeneca,2,0,153,271,285,491
Cansino,2,0,0,0,0,0
Moderna,2,22,489,430,300,84
Pfizer,2,454,254,241,379,400
Sinopharm,2,522,2,2,0,0
Sputnik,2,2,102,56,36,25
