day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,7,30,47,0
369,0,0,23,106,147,1
376,0,0,16,75,116,0
383,0,0,8,33,42,5
390,0,0,0,1,2,2
397,0,0,2,11,30,5
404,0,0,11,44,102,29
411,0,0,20,86,112,34
418,0,0,40,153,221,412
425,0,0,13,85,356,1174
432,0,0,39,294,668,473
439,0,0,11,79,203,853
446,0,0,4,31,57,842
453,0,0,5,15,19,966
460,0,0,10,24,325,1699
467,0,0,15,75,673,909
474,0,0,5,24,537,1084
481,0,0,16,49,958,764
488,0,0,4,14,564,465
495,0,0,2,6,67,53
502,0,0,9,36,1093,873
509,0,0,5,15,238,180
516,0,0,325,1113,4734,229
523,0,0,286,894,2815,142
530,0,0,173,537,3365,90
537,0,0,122,351,3006,42
544,0,0,120,2518,2819,42
551,0,0,229,3945,622,41
558,0,0,2037,3660,429,23
565,0,0,3231,2910,369,39
572,0,0,934,1149,378,37
579,0,230,711,637,222,23
586,0,84,160,124,81,21
593,0,21,252,457,224,27
600,0,9,323,424,179,27
607,0,26,312,374,150,24
614,0,10,134,160,69,9
621,0,11,96,118,44,7
628,0,25,66,60,28,6
635,0,13,144,165,78,11
642,0,255,325,79,30,2
649,0,1630,83,87,32,6
656,0,3080,863,61,20,5
663,0,3581,1738,54,33,6
670,0,2375,424,60,29,5
677,0,1363,167,51,19,3
684,0,553,75,32,16,2
691,0,258,62,36,19,7
698,0,340,62,38,24,7
705,0,274,43,38,24,8
712,0,19,1,1,1,0
376,1,0,0,0,0,0
383,1,0,6,19,39,0
390,1,0,9,48,71,1
397,1,0,19,88,119,1
404,1,0,12,51,83,2
411,1,0,4,18,26,3
418,1,0,2,6,7,2
425,1,0,7,32,91,25
432,1,0,14,64,100,23
439,1,0,24,106,131,24
446,1,0,4,15,28,2
453,1,0,0,8,8,4
460,1,0,1,4,6,2
467,1,0,1,1,0,6
474,1,0,2,13,16,2
481,1,0,5,12,16,2
488,1,0,29,250,802,179
495,1,0,30,207,806,477
502,1,0,8,42,195,207
509,1,0,15,66,190,573
516,1,0,7,22,75,804
523,1,0,9,24,206,1290
530,1,0,2,21,96,1681
537,1,0,2,9,154,629
544,1,0,5,19,573,681
551,1,0,5,11,53,553
558,1,0,7,18,163,220
565,1,0,8,40,74,511
572,1,0,104,395,3651,61
579,1,0,522,2871,1851,98
586,1,1,466,707,1530,1537
593,1,0,177,311,1224,355
600,1,0,1266,1533,3114,162
607,1,77,1508,1760,2956,724
614,1,62,327,1759,2404,117
621,1,21,244,1263,1832,100
628,1,14,464,1878,1318,77
635,1,131,1288,2541,433,39
642,1,2,720,901,207,27
649,1,6,479,737,251,27
656,1,9,234,429,137,22
663,1,43,337,368,158,24
670,1,15,129,197,88,15
677,1,1288,571,207,91,15
684,1,2368,288,97,49,9
691,1,2044,1645,80,53,11
698,1,2201,377,130,62,15
705,1,1517,280,74,49,14
712,1,54,6,3,3,0
663,2,0,0,0,6,36
670,2,0,0,0,332,361
677,2,0,24,100,228,157
684,2,1,28,130,332,84
691,2,1,38,174,288,62
698,2,0,23,71,388,1032
705,2,0,6,30,365,947
712,2,0,1,1,9,17
