type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,197,401,388,294
Cansino,0,0,3,4,1,0
Moderna,0,27,32,1,0,1
Pfizer,0,236,268,8,3,1
Sinopharm,0,735,335,371,270,116
Sputnik,0,2,165,215,338,588
AstraZeneca,1,0,197,403,394,291
Cansino,1,0,0,0,0,0
Moderna,1,28,35,10,86,153
Pfizer,1,244,268,7,2,0
Sinopharm,1,727,353,382,271,118
Sputnik,1,1,147,198,247,438
AstraZeneca,2,0,91,174,323,704
Cansino,2,0,0,0,0,0
Moderna,2,154,707,470,282,39
Pfizer,2,440,167,308,371,241
Sinopharm,2,404,0,0,1,1
Sputnik,2,2,35,48,23,15
