day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,1,1,0
369,0,0,4,15,41,0
376,0,0,7,26,38,0
383,0,0,2,12,19,5
390,0,0,0,1,4,3
397,0,0,2,14,19,5
404,0,0,1,1,0,0
411,0,0,2,10,13,2
418,0,0,4,22,44,82
425,0,0,2,7,8,189
432,0,0,14,51,54,88
439,0,0,11,43,51,90
446,0,0,5,25,31,169
453,0,0,6,12,20,332
460,0,0,2,6,37,407
467,0,0,3,13,149,613
474,0,0,3,8,384,556
481,0,0,3,7,430,315
488,0,0,6,18,269,132
495,0,0,2,8,136,34
502,0,0,4,11,235,105
509,0,0,4,19,203,28
516,0,0,12,44,333,24
523,0,0,113,384,701,32
530,0,0,58,185,1110,21
537,0,0,40,166,1072,13
544,0,0,142,940,568,9
551,0,0,177,382,294,18
558,0,0,383,882,280,9
565,0,0,496,517,216,12
572,0,1,263,527,232,15
579,0,33,292,328,111,8
586,0,8,102,138,92,7
593,0,1,70,102,124,12
600,0,15,108,152,94,14
607,0,2,44,148,61,5
614,0,4,109,124,49,5
621,0,1,25,32,15,2
628,0,3,75,111,27,5
635,0,29,102,81,44,6
642,0,119,143,39,10,2
649,0,53,99,69,28,4
656,0,436,432,40,15,0
663,0,740,161,39,13,1
670,0,452,74,19,9,2
677,0,227,59,12,5,3
684,0,234,60,19,5,0
691,0,222,32,10,8,1
698,0,252,25,17,8,5
705,0,279,27,20,12,4
712,0,177,28,24,14,5
719,0,113,48,20,12,2
726,0,74,29,22,12,1
733,0,154,41,37,25,6
740,0,94,17,23,16,3
747,0,71,22,19,15,2
754,0,66,25,18,8,0
761,0,3,3,3,2,1
383,1,0,0,0,0,0
390,1,0,3,12,33,0
397,1,0,7,27,41,0
404,1,0,1,12,22,5
411,1,0,1,2,4,2
418,1,0,2,14,20,4
425,1,0,1,1,1,1
432,1,0,2,9,11,3
439,1,0,1,15,25,17
446,1,0,1,6,7,1
453,1,0,1,2,3,1
460,1,0,2,5,6,0
467,1,0,0,1,1,1
474,1,0,0,0,1,1
481,1,0,0,4,8,3
488,1,0,16,55,56,147
495,1,0,9,28,178,395
502,1,0,1,3,113,294
509,1,0,2,4,53,95
516,1,0,7,35,133,420
523,1,0,3,6,36,114
530,1,0,1,8,36,291
537,1,0,2,2,85,145
544,1,0,1,3,41,82
551,1,0,3,8,120,241
558,1,0,1,16,102,202
565,1,0,15,37,226,153
572,1,0,47,281,212,46
579,1,0,82,205,201,27
586,1,0,81,329,701,139
593,1,0,128,212,956,94
600,1,0,243,354,548,54
607,1,18,390,605,736,80
614,1,4,119,398,722,54
621,1,0,180,396,479,38
628,1,23,300,458,391,27
635,1,6,105,233,198,19
642,1,2,52,245,151,10
649,1,4,142,302,140,9
656,1,2,69,139,82,7
663,1,60,131,153,157,12
670,1,28,120,139,84,13
677,1,50,82,91,48,6
684,1,572,362,94,45,8
691,1,103,44,34,28,1
698,1,232,103,35,26,3
705,1,473,203,30,19,3
712,1,328,49,31,21,5
719,1,186,56,37,23,3
726,1,185,47,24,15,4
733,1,130,45,47,27,4
740,1,59,15,20,17,3
747,1,69,32,28,14,1
754,1,88,38,17,9,4
761,1,3,2,2,3,0
621,2,0,0,0,0,0
670,2,0,0,0,4,3
677,2,0,1,4,234,542
684,2,0,0,1,54,125
691,2,0,2,6,104,73
698,2,0,12,56,161,176
705,2,1,3,19,63,159
712,2,0,10,35,174,584
719,2,0,13,57,248,204
726,2,0,22,80,252,177
733,2,1,28,82,525,206
740,2,0,81,185,1112,116
747,2,1,64,232,533,64
754,2,0,49,409,297,49
761,2,0,2,8,12,3
