type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,115,272,448,266
Cansino,0,0,25,23,4,2
Moderna,0,33,32,0,2,1
Pfizer,0,257,248,1,0,0
Sinopharm,0,708,357,404,203,329
Sputnik,0,2,223,300,343,402
AstraZeneca,1,0,111,273,463,268
Cansino,1,0,0,0,0,0
Moderna,1,45,75,51,118,59
Pfizer,1,308,245,2,0,0
Sinopharm,1,645,396,431,203,332
Sputnik,1,2,173,243,216,341
AstraZeneca,2,0,470,357,554,845
Cansino,2,0,0,0,0,0
Moderna,2,58,20,13,7,2
Pfizer,2,470,369,545,207,55
Sinopharm,2,470,0,0,0,0
Sputnik,2,2,141,85,232,98
