day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,29,132,169,2
369,0,0,19,68,94,0
376,0,0,36,128,142,1
383,0,0,2,5,6,0
390,0,0,7,31,59,6
397,0,0,0,4,1,0
404,0,0,21,84,122,15
411,0,0,27,109,198,35
418,0,0,58,260,409,93
425,0,0,32,62,92,623
432,0,0,96,421,659,1077
439,0,0,124,354,358,1573
446,0,0,62,243,284,1622
453,0,0,18,69,142,2194
460,0,0,26,75,2618,3290
467,0,0,31,102,1663,1877
474,0,0,12,41,777,929
481,0,1,28,69,2424,198
488,0,1,50,190,1369,218
495,0,0,43,94,342,99
502,0,0,48,111,918,431
509,0,1,181,998,4162,259
516,0,0,421,1496,2645,245
523,0,1,319,925,6318,84
530,0,0,224,848,3645,123
537,0,0,349,5244,2185,126
544,0,0,2071,5639,2833,106
551,0,0,2151,2186,370,26
558,0,2,3182,3443,850,41
565,0,3,2510,3203,1196,82
572,0,2,1471,2048,833,64
579,0,137,1247,1581,550,61
586,0,123,312,278,131,17
593,0,62,834,1084,548,50
600,0,21,107,142,88,17
607,0,9,490,671,378,50
614,0,16,193,275,136,16
621,0,21,151,186,91,17
628,0,18,417,577,249,28
635,0,218,370,225,88,13
642,0,188,468,376,163,18
649,0,1309,1346,188,73,4
656,0,1596,1394,342,123,20
663,0,6900,1673,209,80,9
670,0,7775,1358,191,72,10
677,0,3360,225,123,48,6
684,0,2119,501,161,72,8
691,0,999,258,72,46,4
698,0,592,186,87,70,35
705,0,455,121,77,34,16
712,0,544,245,103,62,10
719,0,399,167,108,53,6
726,0,268,105,92,58,29
733,0,804,319,268,165,28
740,0,704,328,270,144,20
747,0,359,159,133,59,8
754,0,358,130,110,45,12
761,0,33,15,13,6,1
383,1,0,16,85,122,2
390,1,0,17,70,94,0
397,1,0,35,135,146,1
404,1,0,6,15,17,0
411,1,0,2,14,47,6
418,1,0,1,4,1,0
425,1,0,19,70,115,11
432,1,0,1,3,1,2
439,1,0,69,330,516,77
446,1,0,14,48,82,10
453,1,0,1,1,1,1
460,1,0,20,27,14,2
467,1,0,37,166,280,42
474,1,0,1,10,12,11
481,1,0,27,95,672,514
488,1,0,17,51,1412,1470
495,1,0,28,120,1220,1017
502,1,0,76,248,253,34
509,1,0,60,308,642,916
516,1,0,40,90,263,447
523,1,0,19,61,208,178
530,1,0,24,70,306,2587
537,1,0,13,43,1156,492
544,1,0,13,28,96,100
551,1,0,23,55,119,871
558,1,0,10,32,86,1193
565,1,0,49,184,432,465
572,1,0,46,919,857,239
579,1,0,1059,1855,2319,118
586,1,0,498,653,1554,1185
593,1,0,173,453,1459,704
600,1,0,1246,1853,2591,555
607,1,4,1462,2160,2009,420
614,1,129,752,1765,6094,440
621,1,19,1307,3223,4310,214
628,1,15,593,2398,950,79
635,1,8,825,1808,1855,109
642,1,7,970,2846,934,54
649,1,12,569,763,353,31
656,1,26,1845,1827,821,104
663,1,29,714,1179,742,68
670,1,63,298,447,238,32
677,1,232,469,375,227,28
684,1,239,320,378,211,30
691,1,3213,2506,254,150,19
698,1,2612,752,199,114,21
705,1,2706,524,224,122,17
712,1,2933,684,346,192,37
719,1,1311,443,259,139,18
726,1,911,222,168,94,14
733,1,1843,603,490,264,27
740,1,1402,666,497,200,28
747,1,715,352,297,132,12
754,1,703,317,230,88,11
761,1,78,31,23,17,2
446,2,0,0,1,0,0
474,2,0,0,1,0,0
551,2,0,1,0,0,0
593,2,0,0,1,8,0
600,2,0,0,0,0,1
607,2,0,0,1,1,0
614,2,0,0,0,2,1
621,2,0,0,0,2,0
628,2,0,0,3,5,0
635,2,0,1,4,10,0
642,2,0,1,2,1,0
649,2,0,1,9,9,0
656,2,0,83,241,121,1
663,2,0,1,6,5,3
670,2,0,1,9,1462,1408
677,2,0,29,54,701,491
684,2,2,18,39,260,150
691,2,1,22,47,282,180
698,2,0,132,506,1074,614
705,2,2,27,149,326,446
712,2,2,42,144,749,2821
719,2,1,38,234,940,873
726,2,1,92,426,676,598
733,2,4,248,751,1934,1359
740,2,19,675,1591,3533,935
747,2,8,467,1260,2602,498
754,2,6,408,1091,1530,314
761,2,0,49,148,208,43
