type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,165,329,385,199
Cansino,0,0,14,11,4,1
Moderna,0,21,21,0,0,0
Pfizer,0,99,95,0,0,0
Sinopharm,0,878,425,391,217,236
Sputnik,0,2,280,269,394,564
AstraZeneca,1,0,184,384,413,200
Cansino,1,0,0,0,0,0
Moderna,1,48,55,47,153,107
Pfizer,1,141,76,0,0,0
Sinopharm,1,810,586,438,232,246
Sputnik,1,1,99,131,202,447
AstraZeneca,2,0,900,928,935,955
Cansino,2,0,0,0,0,0
Moderna,2,375,11,6,0,1
Pfizer,2,375,25,8,13,9
Sinopharm,2,250,0,0,10,12
Sputnik,2,0,64,58,42,23
