type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,173,364,452,298
Cansino,0,0,1,1,0,0
Moderna,0,35,39,1,0,0
Pfizer,0,240,263,4,1,1
Sinopharm,0,724,409,395,200,120
Sputnik,0,1,115,235,347,581
AstraZeneca,1,0,178,373,463,301
Cansino,1,0,0,0,0,0
Moderna,1,35,42,8,77,205
Pfizer,1,248,269,8,3,2
Sinopharm,1,715,424,404,201,121
Sputnik,1,2,87,207,256,371
AstraZeneca,2,0,119,226,316,417
Cansino,2,0,0,0,0,0
Moderna,2,59,387,377,286,96
Pfizer,2,417,429,334,360,476
Sinopharm,2,522,1,0,0,0
Sputnik,2,2,64,63,38,11
