day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,6,15,8,0
369,0,0,7,32,39,1
376,0,0,8,32,44,0
383,0,0,4,29,70,2
390,0,0,3,19,37,6
397,0,0,0,2,4,1
404,0,0,3,5,11,3
411,0,0,14,67,103,18
418,0,0,31,120,172,167
425,0,0,17,79,133,71
432,0,0,21,162,667,252
439,0,0,11,63,128,510
446,0,0,5,23,33,307
453,0,0,2,9,18,338
460,0,0,6,23,119,1060
467,0,0,6,36,91,800
474,0,0,4,19,134,1168
481,0,0,4,9,483,520
488,0,0,2,6,560,478
495,0,0,1,2,197,180
502,0,0,3,18,682,553
509,0,0,3,20,633,396
516,0,0,85,284,2038,102
523,0,0,133,459,1609,39
530,0,0,165,667,1617,40
537,0,0,63,173,1551,14
544,0,0,86,378,1364,24
551,0,0,64,1472,665,18
558,0,0,1255,3080,330,25
565,0,0,1318,1367,241,22
572,0,0,495,537,128,14
579,0,40,338,360,135,13
586,0,127,175,88,47,9
593,0,11,156,229,116,18
600,0,1,139,196,82,13
607,0,37,164,161,70,13
614,0,3,28,48,15,4
621,0,25,54,48,28,7
628,0,12,48,53,27,8
635,0,13,64,86,48,3
642,0,6,23,20,8,1
649,0,1442,217,55,18,5
656,0,2012,771,29,17,3
663,0,1431,440,37,23,2
670,0,1081,65,35,24,4
677,0,221,88,14,4,1
383,1,0,4,10,5,0
390,1,0,5,25,26,1
397,1,0,8,36,54,0
404,1,0,6,33,69,3
411,1,0,3,17,36,5
418,1,0,1,10,16,3
425,1,0,3,5,10,3
432,1,0,11,52,80,15
439,1,0,12,69,95,16
446,1,0,7,34,66,13
453,1,0,3,14,11,3
460,1,0,6,17,14,1
467,1,0,1,0,0,0
474,1,0,1,5,8,3
481,1,0,6,18,24,1
488,1,0,6,15,31,15
495,1,0,16,204,757,198
502,1,0,7,26,96,443
509,1,0,19,62,108,185
516,1,0,8,32,89,242
523,1,0,4,13,33,411
530,1,0,3,9,24,478
537,1,0,0,5,19,33
544,1,0,2,5,197,1019
551,1,0,1,9,83,566
558,1,0,4,6,12,33
565,1,0,3,14,34,356
572,1,0,90,454,1914,86
579,1,0,170,765,753,35
586,1,1,553,746,978,1352
593,1,0,310,327,359,274
600,1,0,659,859,1053,65
607,1,34,497,548,1212,721
614,1,3,347,915,3198,230
621,1,79,349,562,1371,150
628,1,34,222,406,340,53
635,1,23,225,2053,473,34
642,1,6,520,659,193,22
649,1,1,142,367,110,13
656,1,40,107,115,48,8
663,1,7,89,128,69,14
670,1,55,63,100,64,8
677,1,256,58,33,15,2
663,2,0,0,0,14,40
670,2,0,0,0,44,287
677,2,0,0,1,3,3
677,3,0,0,0,0,1
