day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,2,0,0
369,0,0,4,23,20,0
376,0,0,6,37,40,0
383,0,0,4,9,12,1
390,0,0,1,5,13,0
397,0,0,2,6,12,3
404,0,0,0,1,1,1
411,0,0,3,14,18,3
418,0,0,16,71,138,90
425,0,0,9,26,29,187
432,0,0,18,82,90,224
439,0,0,9,35,71,95
446,0,0,10,34,42,182
453,0,0,5,24,40,340
460,0,0,4,19,181,399
467,0,0,1,4,100,190
474,0,0,1,6,150,221
481,0,0,1,4,138,156
488,0,0,1,7,178,122
495,0,0,0,2,40,39
502,0,0,5,19,85,46
509,0,0,6,29,195,47
516,0,1,25,113,261,51
523,0,0,49,178,291,50
530,0,0,46,145,918,87
537,0,0,36,269,521,23
544,0,0,194,410,656,31
551,0,0,111,511,280,25
558,0,0,222,483,115,13
565,0,0,272,357,172,19
572,0,0,147,242,141,19
579,0,14,264,269,85,12
586,0,8,121,160,81,9
593,0,6,58,91,61,10
600,0,0,55,102,65,15
607,0,8,65,109,72,15
614,0,1,44,65,31,6
621,0,55,29,46,23,6
628,0,6,28,43,23,4
635,0,185,18,31,20,4
642,0,151,55,95,56,9
649,0,392,27,35,10,3
656,0,353,38,44,17,2
663,0,167,16,20,7,0
383,1,0,1,1,0,0
390,1,0,3,20,19,0
397,1,0,5,31,37,0
404,1,0,3,10,13,1
411,1,0,2,8,13,0
418,1,0,1,4,3,0
425,1,0,2,7,12,3
432,1,0,1,0,0,1
439,1,0,11,65,98,28
446,1,0,7,18,20,4
453,1,0,1,2,4,4
460,1,0,0,1,1,1
467,1,0,1,1,1,0
474,1,0,0,1,1,30
481,1,0,2,5,2,1
488,1,0,27,113,153,4
495,1,0,3,14,120,212
502,1,0,6,32,109,141
509,1,0,4,13,63,134
516,1,0,4,15,48,254
523,1,0,1,5,11,103
530,1,0,1,4,10,125
537,1,0,1,2,20,96
544,1,0,1,3,23,92
551,1,0,1,9,28,170
558,1,0,1,4,83,125
565,1,0,7,26,63,275
572,1,0,91,273,187,72
579,1,0,100,163,343,34
586,1,0,57,154,427,134
593,1,0,25,84,326,146
600,1,0,172,297,514,162
607,1,0,164,352,493,86
614,1,7,142,339,589,96
621,1,14,94,268,350,27
628,1,4,240,375,434,32
635,1,6,72,147,129,17
642,1,0,116,311,106,11
649,1,2,29,51,34,4
656,1,15,59,151,84,11
663,1,95,41,67,33,9
