type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,147,269,463,341
Cansino,0,0,12,13,9,4
Moderna,0,76,67,0,0,0
Pfizer,0,217,190,0,0,0
Sinopharm,0,705,394,411,222,202
Sputnik,0,2,190,307,306,453
AstraZeneca,1,0,136,264,475,342
Cansino,1,0,0,0,0,0
Moderna,1,103,93,26,40,68
Pfizer,1,224,173,3,0,0
Sinopharm,1,671,440,436,225,203
Sputnik,1,2,158,271,260,387
AstraZeneca,2,0,553,625,704,789
Cansino,2,0,1,0,0,1
Moderna,2,90,31,49,26,5
Pfizer,2,181,324,239,209,175
Sinopharm,2,727,4,0,1,0
Sputnik,2,2,87,87,60,30
