day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,1,1,0
369,0,0,4,29,50,0
376,0,0,8,29,55,0
383,0,0,7,30,44,3
390,0,0,1,6,18,7
397,0,0,1,6,11,2
404,0,0,0,1,2,0
411,0,0,1,5,3,0
418,0,0,3,12,41,60
425,0,0,2,6,12,286
432,0,0,16,56,45,206
439,0,0,10,48,42,240
446,0,0,7,40,47,199
453,0,0,2,9,31,186
460,0,0,7,25,259,415
467,0,0,2,7,197,459
474,0,0,1,5,400,406
481,0,0,5,14,499,288
488,0,0,15,55,453,51
495,0,0,5,34,275,48
502,0,0,10,20,269,29
509,0,0,16,46,160,46
516,0,1,30,94,725,36
523,0,0,150,522,1203,59
530,0,0,58,747,407,28
537,0,0,172,404,541,22
544,0,0,205,559,556,21
551,0,0,486,758,234,21
558,0,0,262,597,517,23
565,0,0,383,416,259,21
572,0,0,367,622,185,22
579,0,8,332,589,408,40
586,0,34,181,249,160,19
593,0,39,158,199,144,16
600,0,114,165,83,67,10
607,0,23,133,179,120,18
614,0,10,142,212,117,12
621,0,18,71,111,74,14
628,0,11,38,40,29,4
635,0,68,89,30,14,2
642,0,29,130,154,89,12
649,0,183,218,60,37,5
656,0,218,215,50,32,3
663,0,432,148,44,22,6
670,0,413,67,14,7,0
677,0,431,41,20,11,2
684,0,234,28,23,15,1
691,0,4,1,1,0,0
383,1,0,0,1,0,0
390,1,0,2,15,33,0
397,1,0,8,35,58,1
404,1,0,8,22,39,0
411,1,0,1,10,22,6
418,1,0,1,7,18,3
425,1,0,0,5,3,2
432,1,0,0,2,4,0
439,1,0,3,16,21,19
446,1,0,1,2,3,36
453,1,0,0,1,1,0
460,1,0,1,3,7,1
467,1,0,1,8,7,0
474,1,0,1,0,1,0
481,1,0,3,3,5,121
488,1,0,19,91,82,5
495,1,0,7,36,179,218
502,1,0,1,8,18,10
509,1,0,3,15,140,529
516,1,0,4,11,306,450
523,1,0,3,15,110,97
530,1,0,2,2,140,389
537,1,0,0,2,109,84
544,1,0,4,8,115,107
551,1,0,3,10,68,171
558,1,0,13,43,105,139
565,1,0,17,39,102,118
572,1,0,21,51,168,31
579,1,0,60,189,231,25
586,1,0,84,229,638,63
593,1,0,89,345,654,94
600,1,0,247,466,647,51
607,1,0,260,351,480,41
614,1,19,210,446,1202,57
621,1,21,168,628,240,30
628,1,15,191,499,349,35
635,1,11,203,214,77,8
642,1,16,73,203,80,11
649,1,11,139,178,111,15
656,1,12,104,166,123,16
663,1,69,121,90,60,10
670,1,36,109,148,115,20
677,1,40,57,28,27,4
684,1,42,45,30,25,3
691,1,3,2,2,2,0
663,2,0,0,0,0,0
670,2,0,0,0,2,3
677,2,0,1,0,10,8
684,2,0,0,2,10,9
691,2,0,0,0,0,0
