type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,283,392,379,342
Cansino,0,0,3,4,3,0
Moderna,0,94,82,0,0,0
Pfizer,0,189,166,0,0,0
Sinopharm,0,716,319,345,241,280
Sputnik,0,1,147,259,377,378
AstraZeneca,1,0,305,397,387,351
Cansino,1,0,0,0,0,0
Moderna,1,96,83,57,92,28
Pfizer,1,194,136,2,0,0
Sinopharm,1,708,355,350,238,268
Sputnik,1,2,121,194,283,353
AstraZeneca,2,0,567,605,817,958
Cansino,2,0,2,0,0,0
Moderna,2,0,51,31,16,2
Pfizer,2,500,358,340,147,22
Sinopharm,2,500,2,2,8,12
Sputnik,2,0,20,22,12,6
