day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,1,1,0
369,0,0,6,24,21,0
376,0,0,1,11,15,0
383,0,0,1,3,0,0
390,0,0,0,1,0,0
397,0,0,0,1,0,0
404,0,0,2,27,37,3
411,0,0,0,2,0,0
418,0,0,9,56,71,12
425,0,0,13,39,61,20
432,0,0,38,118,70,164
439,0,0,16,57,47,107
446,0,0,12,20,9,23
453,0,0,11,26,16,324
460,0,0,8,27,202,364
467,0,0,1,8,153,204
474,0,0,1,2,67,77
481,0,0,3,7,239,137
488,0,0,2,2,45,21
495,0,0,6,12,86,35
502,0,0,4,12,97,27
509,0,0,10,32,206,35
516,0,0,43,142,202,26
523,0,0,71,261,412,36
530,0,0,66,155,452,29
537,0,0,59,201,545,15
544,0,0,108,348,527,20
551,0,0,138,395,247,12
558,0,0,219,372,195,8
565,0,0,217,434,153,11
572,0,0,382,449,146,12
579,0,15,180,175,63,6
586,0,22,187,211,73,10
593,0,21,139,175,80,12
600,0,27,86,68,33,5
607,0,16,108,128,67,11
614,0,9,35,36,20,2
621,0,8,134,147,39,6
628,0,21,69,57,14,4
635,0,10,63,68,24,1
642,0,90,117,32,13,1
649,0,40,68,44,11,0
656,0,620,295,22,10,1
663,0,628,186,32,12,3
670,0,401,13,5,4,0
677,0,206,23,10,4,1
684,0,141,23,11,4,1
691,0,41,9,7,3,0
698,0,53,12,16,8,2
705,0,17,5,6,7,1
712,0,1,0,1,2,0
390,1,0,5,22,19,0
397,1,0,2,11,18,0
404,1,0,0,2,0,0
411,1,0,1,2,0,0
418,1,0,0,1,0,0
425,1,0,2,25,31,3
432,1,0,0,2,1,0
439,1,0,4,36,38,2
446,1,0,4,14,29,6
453,1,0,0,0,0,0
460,1,0,7,16,17,0
467,1,0,2,6,7,1
474,1,0,5,11,10,0
481,1,0,5,6,2,1
488,1,0,9,22,83,235
495,1,0,7,20,114,180
502,1,0,25,87,53,33
509,1,0,13,44,57,19
516,1,0,11,45,82,172
523,1,0,2,6,75,97
530,1,0,1,6,63,146
537,1,0,1,3,17,23
544,1,0,2,5,24,21
551,1,0,1,4,30,85
558,1,0,3,10,45,44
565,1,0,2,13,183,186
572,1,0,11,43,52,15
579,1,0,54,140,160,6
586,1,0,62,285,437,72
593,1,0,139,205,324,90
600,1,0,109,167,239,31
607,1,3,169,435,584,78
614,1,2,192,393,432,27
621,1,4,132,289,323,42
628,1,5,145,221,264,20
635,1,52,234,272,146,12
642,1,3,58,104,57,6
649,1,0,123,163,88,9
656,1,2,32,50,39,4
663,1,12,104,132,60,10
670,1,32,52,40,18,2
677,1,20,37,24,13,2
684,1,220,230,33,18,3
691,1,122,86,17,8,2
698,1,109,18,23,16,1
705,1,227,27,11,3,3
712,1,2,4,5,2,0
656,2,0,0,0,1,0
670,2,0,0,0,0,0
677,2,2,3,3,26,46
684,2,0,1,2,47,31
691,2,1,1,1,24,13
698,2,0,9,54,111,19
705,2,0,11,72,212,348
712,2,0,0,2,2,2
