type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,158,264,395,252
Cansino,0,0,19,17,8,4
Moderna,0,77,68,1,0,0
Pfizer,0,199,175,0,0,0
Sinopharm,0,723,398,463,262,258
Sputnik,0,1,182,255,335,486
AstraZeneca,1,0,179,289,405,254
Cansino,1,0,0,0,0,0
Moderna,1,64,66,20,71,55
Pfizer,1,196,171,2,0,0
Sinopharm,1,738,431,479,259,262
Sputnik,1,2,153,210,265,429
AstraZeneca,2,0,653,598,583,873
Moderna,2,391,52,34,16,3
Pfizer,2,260,212,293,227,53
Sinopharm,2,347,3,1,1,0
Sputnik,2,2,80,74,173,71
