day,dose,5-14,15-24,25-39,40-64,65+
369,0,0,3,16,12,0
376,0,0,6,23,18,0
383,0,0,3,4,10,0
390,0,0,0,2,2,0
397,0,0,1,4,16,4
404,0,0,2,7,9,1
411,0,0,1,4,11,11
418,0,0,3,7,8,27
425,0,0,3,2,4,130
432,0,0,20,59,31,57
439,0,0,37,84,66,26
446,0,0,16,63,61,98
453,0,0,4,10,9,68
460,0,0,1,7,121,158
467,0,0,1,3,99,118
474,0,0,0,2,49,47
481,0,0,3,2,92,37
488,0,0,0,6,51,11
495,0,0,1,7,29,10
502,0,0,3,7,26,6
509,0,0,7,27,61,4
516,0,0,60,215,277,15
523,0,0,61,161,225,13
530,0,0,41,90,297,17
537,0,0,22,195,305,6
544,0,0,189,441,152,14
551,0,0,106,113,40,7
558,0,0,164,198,88,6
565,0,0,169,149,50,7
572,0,1,108,135,59,4
579,0,11,144,188,103,15
586,0,12,85,98,48,7
593,0,12,66,72,40,5
600,0,17,40,29,17,2
607,0,6,67,73,56,3
614,0,6,27,28,19,4
621,0,1,8,10,2,0
628,0,5,51,72,52,8
635,0,6,28,31,24,4
642,0,51,71,26,16,3
649,0,74,69,17,11,2
656,0,785,159,9,4,1
663,0,180,115,8,9,0
670,0,249,27,14,5,0
677,0,80,18,9,7,1
684,0,54,16,10,6,1
691,0,40,13,5,7,0
698,0,105,36,22,7,1
705,0,25,18,16,7,1
712,0,40,18,19,7,3
719,0,42,11,3,3,0
726,0,34,13,2,1,1
733,0,87,51,48,36,6
740,0,107,62,63,41,9
747,0,62,35,34,21,2
754,0,49,27,23,22,7
761,0,19,4,4,1,1
390,1,0,0,4,5,0
397,1,0,6,22,14,0
404,1,0,4,13,20,0
411,1,0,1,4,3,0
418,1,0,2,3,11,3
425,1,0,2,8,9,1
432,1,0,1,6,11,8
439,1,0,1,5,9,3
446,1,0,0,1,1,0
453,1,0,0,0,1,1
460,1,0,0,0,1,45
467,1,0,2,3,3,56
474,1,0,0,0,1,41
481,1,0,4,3,28,52
488,1,0,29,92,59,1
495,1,0,25,91,80,5
502,1,0,2,8,83,74
509,1,0,2,7,36,36
516,1,0,12,14,26,129
523,1,0,0,1,13,24
530,1,0,0,1,28,64
537,1,0,1,0,4,6
544,1,0,0,0,5,6
551,1,0,0,0,13,49
558,1,0,2,5,18,11
565,1,0,9,25,129,61
572,1,0,43,108,94,16
579,1,0,63,190,157,9
586,1,0,16,43,29,5
593,1,0,27,114,219,17
600,1,0,170,224,261,16
607,1,0,80,127,116,17
614,1,0,177,437,422,26
621,1,0,134,169,74,14
628,1,17,65,85,72,4
635,1,1,45,63,37,5
642,1,1,19,38,41,4
649,1,11,78,91,71,7
656,1,9,51,57,38,4
663,1,10,35,37,23,3
670,1,19,12,17,11,1
677,1,6,17,16,13,0
684,1,43,58,25,17,2
691,1,108,114,21,8,1
698,1,347,130,47,22,1
705,1,63,25,11,7,1
712,1,88,29,18,10,2
719,1,184,20,8,5,1
726,1,47,10,4,5,0
733,1,160,73,50,14,1
740,1,131,72,55,28,3
747,1,77,38,31,20,3
754,1,79,28,24,9,0
761,1,17,10,5,1,0
558,2,0,0,0,2,0
600,2,0,0,0,0,0
607,2,0,0,0,2,0
621,2,0,1,1,4,0
670,2,0,0,2,3,4
677,2,0,0,0,5,3
684,2,0,5,10,85,46
691,2,0,1,5,23,6
698,2,1,10,49,66,19
705,2,0,4,9,15,58
712,2,0,8,11,52,101
719,2,0,3,10,57,51
726,2,0,2,7,111,50
733,2,0,20,145,126,65
740,2,1,26,333,526,108
747,2,0,24,120,177,34
754,2,0,93,144,106,27
761,2,0,46,48,15,2
