type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,163,316,440,273
Cansino,0,0,13,16,22,19
Moderna,0,74,70,0,0,0
Pfizer,0,209,196,0,0,3
Sinopharm,0,716,347,416,268,232
Sputnik,0,1,211,252,270,473
AstraZeneca,1,0,173,341,468,284
Cansino,1,0,0,0,0,0
Moderna,1,89,79,10,12,11
Pfizer,1,226,190,3,0,0
Sinopharm,1,684,374,431,275,244
Sputnik,1,1,184,215,245,461
AstraZeneca,2,0,164,396,551,737
Cansino,2,0,0,0,1,0
Moderna,2,0,38,41,37,11
Pfizer,2,666,709,531,387,239
Sinopharm,2,333,0,5,3,2
Sputnik,2,1,89,27,21,11
