day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,2,3,0,0
369,0,0,1,5,2,0
376,0,0,2,3,2,0
383,0,0,0,1,4,0
390,0,0,0,0,1,1
397,0,0,4,16,16,1
404,0,0,7,31,51,1
411,0,0,4,22,26,0
418,0,0,4,22,32,33
425,0,0,2,9,20,4
432,0,0,12,90,203,4
439,0,0,2,31,61,93
446,0,0,1,2,3,10
453,0,0,0,0,2,21
460,0,0,1,2,11,355
467,0,0,9,63,111,206
474,0,0,1,70,121,409
481,0,0,4,10,174,212
488,0,0,7,14,84,93
495,0,0,0,1,27,28
502,0,0,3,4,296,247
509,0,0,4,10,80,34
516,0,0,83,244,1136,78
523,0,0,25,67,394,28
530,0,0,93,239,299,45
537,0,0,46,89,653,17
544,0,0,30,198,258,11
551,0,0,185,902,145,16
558,0,0,132,412,133,8
565,0,0,510,592,125,15
572,0,0,133,140,34,4
579,0,3,61,117,96,13
586,0,42,49,12,3,2
593,0,3,44,82,69,8
600,0,1,198,289,65,7
607,0,20,353,299,42,7
614,0,11,91,102,40,2
621,0,9,38,31,10,1
628,0,10,23,22,13,2
635,0,8,26,32,13,1
642,0,3,45,63,23,3
649,0,262,134,161,40,9
656,0,511,179,16,5,1
663,0,308,71,25,4,2
670,0,775,26,24,7,1
677,0,410,96,15,12,3
684,0,373,208,15,5,0
691,0,114,17,4,2,0
383,1,0,1,2,0,0
390,1,0,1,3,1,0
397,1,0,3,5,0,0
404,1,0,0,0,2,0
411,1,0,0,0,2,1
418,1,0,0,2,4,0
425,1,0,8,38,50,1
432,1,0,3,24,27,0
439,1,0,3,10,18,1
446,1,0,3,9,16,0
453,1,0,0,0,1,0
460,1,0,1,1,1,0
474,1,0,0,2,0,2
481,1,0,0,1,0,0
488,1,0,1,5,17,1
495,1,0,16,153,249,130
502,1,0,7,53,130,253
509,1,0,1,12,27,50
516,1,0,0,23,58,71
523,1,0,2,8,12,207
530,1,0,2,6,6,84
537,1,0,1,1,4,16
544,1,0,8,21,200,349
551,1,0,0,5,73,168
558,1,0,1,1,5,23
565,1,0,0,2,10,40
572,1,0,63,160,448,25
579,1,0,61,296,392,21
586,1,0,84,217,315,93
593,1,0,20,55,124,19
600,1,0,313,431,338,27
607,1,0,120,197,467,236
614,1,17,125,345,950,67
621,1,23,55,257,169,26
628,1,1,95,203,138,6
635,1,2,28,119,41,4
642,1,14,170,183,39,3
649,1,0,26,48,28,4
656,1,0,78,368,102,11
663,1,14,344,330,92,11
670,1,12,93,91,26,5
677,1,207,51,64,39,4
684,1,308,27,18,9,0
691,1,201,152,5,1,1
649,2,0,0,1,0,0
663,2,0,0,0,0,65
670,2,0,0,0,16,212
677,2,0,4,7,26,71
684,2,0,1,5,8,5
691,2,0,0,4,11,2
