type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,176,306,505,461
Cansino,0,0,1,2,0,0
Moderna,0,29,34,2,1,0
Pfizer,0,191,216,1,0,0
Sinopharm,0,779,262,357,204,244
Sputnik,0,1,311,332,290,295
AstraZeneca,1,0,192,323,514,465
Moderna,1,31,50,35,65,97
Pfizer,1,192,217,6,3,0
Sinopharm,1,775,279,370,206,246
Sputnik,1,2,262,266,212,192
AstraZeneca,2,0,83,175,280,623
Cansino,2,0,1,0,0,0
Moderna,2,222,599,553,427,74
Pfizer,2,111,175,183,262,286
Sinopharm,2,666,0,0,0,0
Sputnik,2,1,142,89,31,17
