day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,4,5,0
369,0,0,2,6,9,0
376,0,0,1,6,11,0
383,0,0,0,3,6,0
390,0,0,0,0,1,1
397,0,0,0,0,0,0
404,0,0,1,4,7,2
411,0,0,1,6,13,3
418,0,0,4,14,24,21
425,0,0,2,6,20,49
432,0,0,2,18,79,24
439,0,0,3,20,24,104
446,0,0,1,4,7,48
453,0,0,0,1,4,62
460,0,0,1,3,10,256
467,0,0,0,2,58,152
474,0,0,0,2,48,103
481,0,0,1,2,77,67
488,0,0,0,2,56,44
495,0,0,0,0,10,10
502,0,0,0,2,95,84
509,0,0,1,4,76,41
516,0,0,9,51,289,18
523,0,0,26,74,276,13
530,0,0,22,61,307,10
537,0,0,9,28,132,5
544,0,0,9,41,253,4
551,0,0,10,308,93,4
558,0,0,60,275,48,4
565,0,0,172,215,44,5
572,0,0,120,117,26,3
579,0,10,67,94,49,8
586,0,14,23,19,14,3
593,0,1,68,67,17,5
600,0,0,65,62,18,4
607,0,4,45,44,13,3
614,0,1,14,15,7,1
621,0,1,5,5,3,1
628,0,1,5,4,2,0
635,0,3,14,13,7,1
642,0,20,23,4,2,0
649,0,175,8,6,2,1
656,0,200,62,3,1,0
663,0,127,100,5,2,1
670,0,212,27,3,2,1
677,0,67,16,3,1,0
684,0,36,10,2,1,0
691,0,17,3,1,0,0
383,1,0,1,2,4,0
390,1,0,1,5,7,0
397,1,0,1,6,10,0
404,1,0,1,5,9,0
411,1,0,0,1,2,1
418,1,0,0,0,1,0
425,1,0,0,3,5,1
432,1,0,1,5,9,2
439,1,0,3,11,20,3
446,1,0,1,3,4,0
453,1,0,0,1,0,0
460,1,0,0,1,1,0
467,1,0,0,0,0,0
474,1,0,0,0,0,0
481,1,0,0,1,1,0
488,1,0,3,28,92,64
495,1,0,1,8,55,144
502,1,0,1,4,9,25
509,1,0,1,3,7,18
516,1,0,2,7,18,118
523,1,0,1,2,5,38
530,1,0,1,2,6,65
537,1,0,0,1,5,12
544,1,0,0,1,54,101
551,1,0,0,1,10,64
558,1,0,0,1,14,21
565,1,0,0,2,5,76
572,1,0,12,67,392,16
579,1,0,25,149,176,12
586,1,0,28,112,168,155
593,1,0,23,36,74,28
600,1,0,70,114,159,14
607,1,9,163,164,225,93
614,1,3,35,73,229,18
621,1,3,27,75,170,13
628,1,0,38,63,56,6
635,1,7,30,219,58,5
642,1,0,34,75,30,4
649,1,0,11,16,10,1
656,1,2,43,40,8,2
663,1,3,36,32,12,3
670,1,2,13,16,8,2
677,1,109,33,10,4,1
684,1,196,44,5,3,0
691,1,55,29,2,1,0
663,2,0,0,0,25,81
670,2,0,0,0,46,127
677,2,0,1,5,20,19
684,2,0,0,1,19,13
691,2,0,0,0,7,4
