type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,116,299,389,280
Cansino,0,0,1,1,0,0
Moderna,0,31,34,2,1,0
Pfizer,0,246,252,3,1,0
Sinopharm,0,721,379,446,271,250
Sputnik,0,2,218,249,338,470
AstraZeneca,1,0,118,301,395,282
Cansino,1,0,0,0,0,0
Moderna,1,31,34,6,89,156
Pfizer,1,259,256,8,2,1
Sinopharm,1,708,400,461,273,252
Sputnik,1,2,192,224,241,309
AstraZeneca,2,0,98,165,281,603
Cansino,2,0,0,0,0,0
Moderna,2,34,595,473,264,25
Pfizer,2,308,208,205,414,357
Sinopharm,2,656,5,2,0,0
Sputnik,2,2,94,155,41,15
