day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,12,39,47,0
369,0,0,19,66,98,0
376,0,0,16,64,116,0
383,0,0,5,31,58,2
390,0,0,2,4,7,7
397,0,0,1,2,5,1
404,0,0,9,41,77,21
411,0,0,14,65,132,27
418,0,0,42,148,250,211
425,0,0,16,60,211,508
432,0,0,22,186,808,250
439,0,0,26,208,245,1064
446,0,0,12,44,67,489
453,0,0,2,10,37,638
460,0,0,9,29,104,2626
467,0,0,4,25,595,1561
474,0,0,6,23,496,1053
481,0,0,7,21,787,691
488,0,0,4,21,571,449
495,0,0,1,6,105,103
502,0,0,4,24,974,863
509,0,0,9,36,785,425
516,0,0,95,523,2964,182
523,0,0,267,763,2834,130
530,0,0,222,628,3151,105
537,0,0,95,291,1350,47
544,0,0,93,416,2595,38
551,0,0,99,3166,956,44
558,0,0,618,2825,488,40
565,0,0,1768,2206,453,51
572,0,0,1233,1198,265,32
579,0,204,582,965,506,77
586,0,252,93,197,139,32
593,0,24,682,689,179,46
600,0,4,665,637,185,44
607,0,52,427,447,130,27
614,0,10,127,150,67,11
621,0,12,39,54,28,6
628,0,13,39,43,17,3
635,0,42,108,135,67,14
642,0,404,29,40,16,2
649,0,1839,45,62,24,6
656,0,2654,24,27,14,3
663,0,109,13,21,8,1
383,1,0,9,24,39,0
390,1,0,11,47,69,0
397,1,0,14,61,100,1
404,1,0,13,48,91,0
411,1,0,2,12,19,7
418,1,0,1,4,9,1
425,1,0,6,26,48,12
432,1,0,9,47,91,21
439,1,0,29,110,202,32
446,1,0,9,35,39,4
453,1,0,2,6,6,0
460,1,0,2,11,7,2
467,1,0,2,4,4,3
474,1,0,1,2,4,2
481,1,0,3,7,11,3
488,1,0,31,286,941,654
495,1,0,16,85,567,1479
502,1,0,12,42,95,257
509,1,0,8,27,73,179
516,1,0,16,76,182,1209
523,1,0,7,20,55,389
530,1,0,6,24,60,670
537,1,0,2,10,50,121
544,1,0,2,14,553,1039
551,1,0,2,9,99,651
558,1,0,3,9,148,215
565,1,0,2,17,50,783
572,1,0,125,690,4022,163
579,1,0,260,1535,1809,123
586,1,3,290,1148,1729,1593
593,1,0,240,366,761,291
600,1,0,719,1168,1627,145
607,1,169,1584,1680,2309,954
614,1,49,323,747,2348,191
621,1,30,245,767,1748,130
628,1,5,391,643,579,66
635,1,105,241,2253,594,49
642,1,1,344,769,305,40
649,1,2,115,170,99,14
656,1,30,425,412,83,19
663,1,2,197,172,52,11
