day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,4,22,19,0
369,0,0,6,22,26,0
376,0,0,5,17,19,0
383,0,0,1,7,9,0
390,0,0,0,1,0,0
397,0,0,2,8,12,0
404,0,0,4,18,26,3
411,0,0,9,58,97,11
418,0,0,12,47,77,41
425,0,0,5,27,118,351
432,0,0,4,64,433,129
439,0,0,7,69,93,323
446,0,0,2,9,36,220
453,0,0,1,12,25,245
460,0,0,2,45,119,395
467,0,0,2,48,130,478
474,0,0,2,12,149,248
481,0,0,5,51,413,398
488,0,0,2,9,270,246
495,0,0,2,5,210,198
502,0,0,2,11,259,224
509,0,0,2,6,217,166
516,0,0,41,144,766,252
523,0,0,150,465,1331,69
530,0,0,139,457,842,111
537,0,0,171,375,1495,48
544,0,0,160,494,1662,51
551,0,0,97,1380,841,32
558,0,0,222,1513,477,37
565,0,0,848,1009,236,24
572,0,0,531,615,209,23
579,0,104,454,547,277,30
586,0,83,150,92,64,12
593,0,34,258,420,222,28
600,0,19,463,452,138,24
607,0,47,786,659,129,16
614,0,34,185,165,62,9
621,0,11,92,96,48,7
628,0,10,42,46,23,2
635,0,17,91,94,42,8
642,0,115,183,88,39,9
649,0,764,44,48,20,2
656,0,1197,313,54,22,5
663,0,624,486,61,31,8
670,0,1281,365,34,14,2
677,0,915,143,34,16,3
684,0,528,91,12,6,1
691,0,330,41,24,11,2
698,0,218,29,21,10,2
705,0,138,48,30,14,2
712,0,14,1,2,1,0
383,1,0,2,14,9,0
390,1,0,5,17,24,0
397,1,0,6,24,24,1
404,1,0,2,10,10,1
411,1,0,0,2,2,0
418,1,0,1,3,5,0
425,1,0,5,19,30,2
432,1,0,4,32,54,6
439,1,0,12,51,85,12
446,1,0,2,5,5,1
453,1,0,1,4,10,1
460,1,0,1,2,5,2
467,1,0,2,5,9,2
474,1,0,1,2,1,2
481,1,0,0,1,2,1
488,1,0,5,42,204,5
495,1,0,7,110,369,64
502,1,0,3,59,192,183
509,1,0,1,27,37,67
516,1,0,4,50,108,183
523,1,0,2,12,35,372
530,1,0,3,16,49,447
537,1,0,2,9,46,86
544,1,0,5,12,196,231
551,1,0,0,4,26,174
558,1,0,1,3,42,81
565,1,0,4,9,15,250
572,1,0,125,416,1568,78
579,1,0,58,311,1056,105
586,1,0,109,565,665,670
593,1,0,43,235,431,216
600,1,0,425,708,715,93
607,1,51,364,425,848,386
614,1,72,430,718,1440,252
621,1,19,77,223,443,79
628,1,28,573,775,756,60
635,1,29,160,907,527,37
642,1,2,86,589,165,28
649,1,3,132,294,169,23
656,1,3,119,344,197,19
663,1,8,897,890,215,33
670,1,51,227,217,83,15
677,1,370,208,81,34,5
684,1,558,210,76,53,9
691,1,573,464,90,39,9
698,1,798,123,86,58,12
705,1,390,224,83,50,9
712,1,9,2,2,2,0
663,2,0,0,1,0,1
670,2,0,0,0,86,160
677,2,0,5,21,77,174
684,2,0,7,32,150,59
691,2,0,5,27,60,10
698,2,0,13,52,415,129
705,2,0,16,54,342,238
712,2,0,0,1,5,16
