day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,7,38,31,0
369,0,0,10,38,45,1
376,0,0,9,30,31,1
383,0,0,2,11,15,1
390,0,0,1,2,0,1
397,0,0,3,13,20,0
404,0,0,7,30,46,5
411,0,0,16,100,168,19
418,0,0,20,81,132,69
425,0,0,9,48,202,603
432,0,0,7,109,746,221
439,0,0,12,117,160,555
446,0,0,4,15,61,377
453,0,0,2,19,42,421
460,0,0,4,77,206,679
467,0,0,5,83,224,823
474,0,0,3,19,255,427
481,0,0,10,88,711,684
488,0,0,4,16,464,424
495,0,0,2,8,362,340
502,0,0,3,19,444,387
509,0,0,5,10,373,286
516,0,0,69,248,1317,434
523,0,0,259,800,2288,120
530,0,0,241,784,1449,190
537,0,0,295,644,2571,83
544,0,0,276,850,2858,86
551,0,0,167,2373,1446,55
558,0,0,382,2601,821,64
565,0,0,1458,1735,407,42
572,0,0,913,1059,360,40
579,0,179,780,940,475,51
586,0,143,258,157,110,20
593,0,60,444,723,381,48
600,0,31,795,778,237,42
607,0,80,1352,1134,222,27
614,0,58,320,284,107,15
621,0,18,159,164,82,11
628,0,17,73,78,39,5
635,0,29,157,163,72,13
642,0,198,314,151,67,14
649,0,1314,75,82,36,5
656,0,2058,538,93,37,8
663,0,1073,836,105,53,14
670,0,2205,628,60,23,4
677,0,1574,246,59,27,6
684,0,909,156,20,11,2
691,0,569,71,41,18,3
698,0,375,49,37,17,5
705,0,238,82,51,25,4
712,0,24,2,2,1,0
383,1,0,2,24,17,0
390,1,0,10,29,42,0
397,1,0,11,41,42,1
404,1,0,2,18,17,1
411,1,0,1,2,3,0
418,1,0,2,6,7,1
425,1,0,8,32,51,5
432,1,0,6,54,92,10
439,1,0,19,88,145,21
446,1,0,3,9,8,1
453,1,0,1,6,17,2
460,1,0,2,4,7,4
467,1,0,3,9,15,5
474,1,0,1,2,2,3
481,1,0,1,2,2,1
488,1,0,7,73,351,7
495,1,0,11,190,636,109
502,1,0,5,101,331,315
509,1,0,2,48,64,116
516,1,0,7,85,187,314
523,1,0,5,22,60,641
530,1,0,5,29,85,768
537,1,0,3,15,79,148
544,1,0,9,21,337,397
551,1,0,1,6,45,299
558,1,0,2,6,73,140
565,1,0,7,15,26,429
572,1,0,215,716,2696,134
579,1,0,100,535,1815,181
586,1,0,187,971,1144,1153
593,1,0,74,404,740,371
600,1,1,730,1218,1231,161
607,1,88,626,730,1458,664
614,1,125,740,1236,2476,434
621,1,33,133,383,762,135
628,1,48,984,1334,1300,103
635,1,49,274,1559,908,64
642,1,4,148,1012,284,48
649,1,6,226,506,290,40
656,1,5,205,592,338,34
663,1,14,1543,1531,369,57
670,1,87,390,373,144,26
677,1,637,357,139,58,10
684,1,959,361,131,91,15
691,1,985,799,156,66,14
698,1,1372,211,147,98,21
705,1,671,385,143,85,15
712,1,15,2,2,4,1
663,2,0,0,1,1,1
670,2,0,1,0,148,277
677,2,0,9,37,132,300
684,2,0,11,55,259,101
691,2,1,8,47,102,18
698,2,1,23,90,715,220
705,2,0,29,92,588,411
712,2,0,1,1,10,28
