type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,158,294,347,245
Cansino,0,0,19,19,9,5
Moderna,0,48,51,0,0,0
Pfizer,0,213,227,3,1,1
Sinopharm,0,737,280,352,312,146
Sputnik,0,2,265,332,331,603
AstraZeneca,1,0,173,309,355,248
Cansino,1,0,0,0,0,0
Moderna,1,51,58,8,58,173
Pfizer,1,222,231,6,3,1
Sinopharm,1,726,305,376,319,147
Sputnik,1,1,233,301,265,431
AstraZeneca,2,0,167,285,366,514
Cansino,2,0,0,0,0,0
Moderna,2,94,417,364,341,240
Pfizer,2,666,334,300,277,236
Sinopharm,2,239,0,0,0,0
Sputnik,2,1,82,51,16,10
