day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,6,5,0
369,0,0,2,6,8,0
376,0,0,1,5,5,0
383,0,0,0,2,2,0
390,0,0,0,0,0,0
397,0,0,0,2,3,0
404,0,0,1,5,8,1
411,0,0,3,16,28,3
418,0,0,3,13,22,11
425,0,0,1,8,33,99
432,0,0,1,18,123,36
439,0,0,2,19,26,91
446,0,0,1,3,10,62
453,0,0,0,3,7,69
460,0,0,1,13,34,112
467,0,0,1,14,37,136
474,0,0,1,3,42,70
481,0,0,2,14,117,112
488,0,0,1,3,76,70
495,0,0,0,1,59,56
502,0,0,1,3,73,64
509,0,0,1,2,62,47
516,0,0,11,41,217,72
523,0,0,42,131,377,19
530,0,0,40,129,241,31
537,0,0,49,107,423,14
544,0,0,46,140,471,14
551,0,0,27,391,238,9
558,0,0,62,428,135,10
565,0,0,239,286,68,7
572,0,0,150,174,59,7
579,0,30,129,155,78,8
586,0,23,42,26,18,3
593,0,10,73,119,63,8
600,0,5,131,128,39,7
607,0,13,223,187,37,5
614,0,10,53,47,18,3
621,0,3,26,27,14,2
628,0,3,12,13,6,1
635,0,5,26,27,12,2
642,0,32,52,25,11,2
649,0,217,12,13,6,1
656,0,339,89,15,6,1
663,0,177,138,17,9,2
670,0,365,104,10,4,1
677,0,260,41,10,4,1
684,0,150,26,3,2,0
691,0,94,12,7,4,0
698,0,63,8,6,3,1
705,0,40,14,9,4,1
712,0,36,14,10,6,1
719,0,37,14,11,6,1
726,0,36,15,14,6,1
733,0,36,21,21,9,2
740,0,63,37,35,17,4
747,0,42,24,21,11,2
754,0,50,18,15,8,2
761,0,0,0,1,0,0
383,1,0,0,4,3,0
390,1,0,2,5,7,0
397,1,0,2,7,7,0
404,1,0,0,3,3,0
411,1,0,0,0,0,0
418,1,0,0,1,1,0
425,1,0,1,5,8,1
432,1,0,1,9,15,2
439,1,0,3,14,24,4
446,1,0,0,2,1,0
453,1,0,0,1,3,0
460,1,0,0,1,1,1
467,1,0,1,1,2,1
474,1,0,0,0,0,1
481,1,0,0,0,0,0
488,1,0,1,12,58,1
495,1,0,2,31,104,18
502,1,0,1,17,55,52
509,1,0,0,8,11,19
516,1,0,1,14,31,52
523,1,0,1,4,10,106
530,1,0,1,5,14,127
537,1,0,1,2,13,24
544,1,0,2,4,55,65
551,1,0,0,1,7,49
558,1,0,0,1,12,23
565,1,0,1,2,4,76
572,1,0,36,118,444,22
579,1,0,16,87,299,30
586,1,0,30,160,188,190
593,1,0,12,66,122,61
600,1,0,120,200,204,27
607,1,15,103,120,243,111
614,1,21,122,203,410,72
621,1,6,22,63,127,22
628,1,8,162,219,215,17
635,1,8,45,257,150,10
642,1,1,24,167,47,8
649,1,1,37,83,48,7
656,1,1,34,97,56,6
663,1,3,254,252,61,10
670,1,21,70,62,24,4
677,1,105,59,23,10,2
684,1,159,60,22,15,3
691,1,163,132,26,11,3
698,1,228,35,25,16,4
705,1,113,65,25,14,2
712,1,316,40,21,11,3
719,1,164,40,20,10,2
726,1,80,32,17,10,2
733,1,133,36,28,16,2
740,1,56,37,34,21,4
747,1,38,19,20,12,3
754,1,57,19,18,8,2
761,1,3,1,1,0,0
481,2,0,0,0,0,0
565,2,0,0,0,0,0
663,2,0,0,0,0,0
670,2,0,0,0,25,46
677,2,0,2,7,22,50
684,2,0,2,10,44,17
691,2,0,2,8,18,3
698,2,0,5,23,126,37
705,2,0,5,18,102,69
712,2,0,3,28,68,118
719,2,0,1,12,27,113
726,2,0,8,40,104,74
733,2,0,8,23,91,104
740,2,2,17,51,130,104
747,2,0,33,112,425,242
754,2,1,39,72,127,42
761,2,0,1,2,8,1
