day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,1,0
369,0,0,13,46,107,1
376,0,0,9,57,92,0
383,0,0,1,3,2,0
390,0,0,4,12,21,5
397,0,0,1,1,1,0
404,0,0,3,10,30,9
411,0,0,1,4,3,0
418,0,0,18,74,145,90
425,0,0,6,27,30,88
432,0,0,7,38,49,284
439,0,0,33,154,154,254
446,0,0,21,104,191,323
453,0,0,2,4,32,350
460,0,1,3,8,70,515
467,0,0,0,9,96,522
474,0,0,1,2,47,570
481,0,0,2,7,265,1079
488,0,0,4,10,358,313
495,0,0,4,11,585,419
502,0,0,8,25,488,362
509,0,0,14,41,544,74
516,0,0,164,574,1601,149
523,0,0,182,512,1339,134
530,0,0,97,293,1056,37
537,0,0,59,174,1025,29
544,0,0,144,410,1145,25
551,0,0,36,332,1258,9
558,0,0,114,1088,600,27
565,0,0,380,1432,274,35
572,0,0,1077,1002,244,31
579,0,97,686,724,236,13
586,0,80,328,373,148,15
593,0,28,213,295,162,17
600,0,25,96,109,69,13
607,0,17,285,328,104,9
614,0,13,67,73,36,4
621,0,17,50,42,23,5
628,0,40,524,649,245,11
635,0,36,150,167,53,8
642,0,157,219,82,35,4
649,0,91,143,85,25,6
656,0,797,564,101,45,4
663,0,797,339,76,39,4
670,0,747,255,23,13,1
677,0,232,60,5,4,0
390,1,0,12,39,99,1
397,1,0,8,57,93,0
404,1,0,1,5,3,0
411,1,0,5,14,25,5
418,1,0,1,1,1,0
425,1,0,3,10,31,9
432,1,0,1,3,2,0
439,1,0,13,51,102,24
446,1,0,1,4,9,1
453,1,0,5,26,43,42
460,1,0,27,122,127,26
467,1,0,11,74,131,27
474,1,0,7,15,47,4
481,1,0,7,30,33,22
488,1,0,7,41,32,8
495,1,0,4,13,35,387
502,1,0,1,9,49,329
509,1,0,0,1,69,290
516,1,0,2,9,114,236
523,1,0,3,9,212,227
530,1,0,2,4,43,419
537,1,0,0,6,20,41
544,1,0,2,4,69,120
551,1,0,1,9,136,803
558,1,0,6,11,84,69
565,1,0,3,14,236,340
572,1,0,35,108,304,138
579,1,0,114,444,1394,46
586,1,0,99,347,1176,597
593,1,0,180,650,1260,342
600,1,0,504,777,966,83
607,1,70,661,733,594,250
614,1,76,506,782,1332,112
621,1,30,184,359,793,102
628,1,21,190,610,457,33
635,1,16,311,415,232,23
642,1,13,175,214,233,16
649,1,20,116,149,123,6
656,1,13,97,620,577,26
663,1,49,102,302,161,18
670,1,162,455,485,262,20
677,1,24,32,12,12,0
663,2,0,0,0,0,1
670,2,0,0,0,32,25
677,2,0,0,0,3,2
