type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,159,271,386,255
Cansino,0,0,27,27,11,4
Moderna,0,44,52,0,0,0
Pfizer,0,215,251,1,0,0
Sinopharm,0,739,312,368,237,213
Sputnik,0,2,199,333,366,528
AstraZeneca,1,0,152,275,390,264
Cansino,1,0,0,2,0,0
Moderna,1,47,62,21,68,125
Pfizer,1,225,263,4,0,0
Sinopharm,1,727,333,381,242,207
Sputnik,1,1,190,317,300,404
AstraZeneca,2,0,557,567,722,887
Cansino,2,0,0,0,0,0
Moderna,2,0,8,10,3,0
Pfizer,2,162,418,411,264,82
Sinopharm,2,837,3,1,1,3
Sputnik,2,1,14,11,10,28
