day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,2,28,18,0
369,0,0,15,46,57,0
376,0,0,13,61,78,0
383,0,0,15,47,93,0
390,0,0,16,61,115,24
397,0,0,3,20,45,8
404,0,0,4,16,17,6
411,0,0,8,28,50,8
418,0,1,43,162,292,198
425,0,0,20,67,109,496
432,0,0,61,265,312,673
439,0,0,34,150,202,1222
446,0,0,24,84,127,1190
453,0,0,21,73,102,1596
460,0,0,7,23,917,1958
467,0,0,6,11,1160,1384
474,0,0,9,27,905,944
481,0,0,6,28,1001,383
488,0,0,14,45,777,248
495,0,0,10,126,311,133
502,0,0,37,156,715,138
509,0,0,110,323,872,115
516,0,1,290,991,2054,158
523,0,0,327,1040,2187,160
530,0,0,216,638,1929,85
537,0,0,152,416,3799,35
544,0,0,265,2445,1979,41
551,0,0,167,1517,1195,41
558,0,0,911,2055,692,35
565,0,0,1783,1946,534,35
572,0,0,1376,1733,923,51
579,0,441,797,1149,487,46
586,0,161,372,518,212,25
593,0,107,218,361,205,20
600,0,59,249,383,173,24
607,0,35,312,476,259,22
614,0,147,152,247,112,17
621,0,88,244,389,193,26
628,0,39,362,527,186,15
635,0,415,123,177,68,9
642,0,471,121,181,82,7
649,0,566,41,70,24,1
656,0,1019,44,61,24,3
663,0,396,30,35,17,1
383,1,0,0,2,4,0
390,1,0,11,44,38,0
397,1,0,15,72,102,0
404,1,0,15,51,85,0
411,1,0,14,44,85,16
418,1,0,8,36,69,10
425,1,0,3,21,35,12
432,1,0,5,17,25,2
439,1,0,29,103,201,25
446,1,0,10,69,82,11
453,1,0,4,14,11,8
460,1,0,4,6,6,1
467,1,0,2,6,18,303
474,1,0,1,6,12,46
481,1,0,14,59,90,228
488,1,0,79,335,480,228
495,1,0,28,111,962,1073
502,1,0,9,29,564,649
509,1,0,30,76,220,592
516,1,0,7,27,156,464
523,1,0,5,22,154,356
530,1,0,0,5,94,841
537,1,0,3,6,87,111
544,1,0,4,14,184,300
551,1,0,3,10,329,933
558,1,0,3,18,124,471
565,1,0,14,43,179,563
572,1,0,60,656,804,80
579,1,0,144,600,1302,118
586,1,0,93,282,1089,1265
593,1,0,265,396,1050,536
600,1,0,603,874,1210,337
607,1,11,785,1209,1371,281
614,1,449,805,1475,2300,404
621,1,120,664,1313,2738,227
628,1,81,613,1542,1917,86
635,1,62,316,875,924,57
642,1,46,348,905,403,28
649,1,82,518,1197,964,55
656,1,87,559,898,491,36
663,1,16,161,279,294,24
