type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,129,306,412,217
Cansino,0,0,8,8,3,0
Moderna,0,97,71,0,0,0
Pfizer,0,247,178,0,0,0
Sinopharm,0,654,385,390,240,224
Sputnik,0,2,229,296,345,559
AstraZeneca,1,0,204,353,440,216
Moderna,1,469,92,23,78,144
Pfizer,1,335,58,0,0,0
Sinopharm,1,195,477,412,245,226
Sputnik,1,1,169,212,237,414
AstraZeneca,2,[0, 0, 0, 0, 0],939,906,979,955
Moderna,2,[0, 0, 0, 0, 0],0,0,0,0
Pfizer,2,[0, 0, 0, 0, 0],30,19,0,0
Sinopharm,2,[0, 0, 0, 0, 0],0,0,0,0
Sputnik,2,1000,31,75,21,45
