day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,3,18,27,0
369,0,0,3,10,18,0
376,0,0,9,38,55,0
383,0,0,4,17,31,1
390,0,0,3,9,26,12
397,0,0,1,4,4,1
404,0,0,2,17,36,4
411,0,0,5,15,35,6
418,0,0,18,62,93,69
425,0,0,13,52,59,268
432,0,0,14,118,368,148
439,0,0,5,39,68,261
446,0,0,6,19,32,188
453,0,0,2,10,15,157
460,0,0,2,10,49,968
467,0,0,2,24,152,703
474,0,0,6,19,242,495
481,0,0,1,12,228,206
488,0,0,1,5,286,228
495,0,0,1,3,30,32
502,0,0,2,11,452,403
509,0,0,4,13,317,162
516,0,0,34,165,1170,80
523,0,0,96,290,1294,35
530,0,0,80,417,1133,40
537,0,0,37,324,715,12
544,0,0,40,263,622,15
551,0,0,18,552,406,9
558,0,0,301,1586,157,15
565,0,0,806,784,107,10
572,0,0,520,511,99,8
579,0,34,368,363,104,15
586,0,40,60,35,22,9
593,0,8,80,111,53,12
600,0,1,116,179,95,16
607,0,11,72,74,30,10
614,0,3,14,21,18,3
621,0,1,20,32,19,2
628,0,10,27,18,9,1
635,0,1,31,44,21,4
642,0,2,15,18,9,1
649,0,803,13,12,4,0
656,0,1196,247,23,12,4
663,0,1134,446,35,17,4
670,0,319,46,13,9,4
677,0,189,53,12,7,1
684,0,131,23,8,5,1
691,0,50,10,0,1,0
369,1,0,0,0,1,0
383,1,0,2,15,21,0
390,1,0,1,6,4,0
397,1,0,7,30,50,1
404,1,0,7,28,44,1
411,1,0,3,7,28,10
418,1,0,1,4,7,1
425,1,0,0,3,6,1
432,1,0,7,23,58,9
439,1,0,12,48,81,9
446,1,0,5,19,15,4
453,1,0,1,6,7,2
460,1,0,1,2,1,1
467,1,0,1,2,0,0
474,1,0,0,3,4,2
481,1,0,2,5,7,1
488,1,0,6,77,258,15
495,1,0,14,83,215,821
502,1,0,2,18,88,196
509,1,0,2,10,23,77
516,1,0,6,32,63,257
523,1,0,1,9,30,389
530,1,0,4,19,25,313
537,1,0,1,4,7,22
544,1,0,1,6,239,491
551,1,0,1,5,80,291
558,1,0,1,4,9,23
565,1,0,1,4,34,164
572,1,0,39,199,1106,61
579,1,0,88,323,486,36
586,1,1,178,527,852,609
593,1,1,61,117,178,53
600,1,0,435,568,626,28
607,1,23,536,516,547,318
614,1,1,145,547,1793,136
621,1,15,123,540,529,41
628,1,31,178,286,308,23
635,1,6,124,917,271,18
642,1,1,190,339,127,15
649,1,3,163,231,33,3
656,1,14,119,152,77,14
663,1,7,36,52,39,6
670,1,5,39,58,42,5
677,1,528,31,23,18,4
684,1,905,74,12,9,1
691,1,347,127,7,1,1
663,2,0,0,0,13,1
670,2,1,0,0,22,844
677,2,0,1,6,36,84
684,2,0,18,110,209,79
691,2,0,1,9,31,7
