day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,6,10,0
369,0,0,1,4,7,0
376,0,0,3,14,21,0
383,0,0,2,6,12,1
390,0,0,1,4,10,4
397,0,0,0,1,2,0
404,0,0,1,6,14,1
411,0,0,2,5,13,2
418,0,0,6,23,34,26
425,0,0,5,19,22,99
432,0,0,5,44,136,55
439,0,0,2,15,25,96
446,0,0,2,7,12,70
453,0,0,1,4,6,58
460,0,0,1,4,18,358
467,0,0,1,9,56,261
474,0,0,2,7,90,183
481,0,0,0,4,84,76
488,0,0,1,2,106,85
495,0,0,1,1,11,12
502,0,0,1,4,167,149
509,0,0,2,5,118,60
516,0,0,13,61,433,29
523,0,0,36,107,480,13
530,0,0,30,155,420,15
537,0,0,14,120,265,5
544,0,0,15,98,230,5
551,0,0,7,205,150,3
558,0,0,112,588,58,6
565,0,0,299,290,39,4
572,0,0,192,189,37,3
579,0,24,124,134,38,5
586,0,26,8,13,8,4
593,0,4,26,41,19,4
600,0,1,42,66,35,6
607,0,5,22,27,11,4
614,0,2,4,8,6,1
621,0,1,7,12,7,1
628,0,6,6,6,4,0
635,0,1,11,16,8,1
642,0,1,5,7,4,1
649,0,298,3,4,2,0
656,0,528,5,8,4,1
663,0,179,2,4,2,0
369,1,0,0,0,0,0
383,1,0,1,6,8,0
390,1,0,1,2,2,0
397,1,0,3,11,18,0
404,1,0,2,11,16,1
411,1,0,1,3,11,4
418,1,0,0,2,2,1
425,1,0,0,1,2,0
432,1,0,2,9,21,3
439,1,0,4,18,30,3
446,1,0,2,7,5,1
453,1,0,1,2,2,1
460,1,0,0,1,1,0
467,1,0,1,1,0,0
474,1,0,0,1,2,1
481,1,0,1,2,2,1
488,1,0,2,29,95,6
495,1,0,5,31,80,304
502,1,0,1,7,32,73
509,1,0,1,4,8,28
516,1,0,2,12,24,95
523,1,0,1,3,11,144
530,1,0,1,7,9,116
537,1,0,0,1,2,8
544,1,0,1,2,88,182
551,1,0,1,2,29,108
558,1,0,0,2,4,8
565,1,0,0,1,12,61
572,1,0,15,74,409,22
579,1,0,33,120,180,13
586,1,1,66,195,316,226
593,1,0,22,43,66,19
600,1,0,161,211,232,10
607,1,12,190,191,202,118
614,1,1,53,203,664,51
621,1,9,40,200,196,15
628,1,12,55,106,114,9
635,1,3,44,340,101,7
642,1,1,70,125,47,5
649,1,1,61,86,12,1
656,1,8,39,55,28,5
663,1,1,4,6,3,1
