type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,146,350,460,332
Cansino,0,0,4,3,1,0
Moderna,0,23,27,0,0,1
Pfizer,0,229,264,1,0,1
Sinopharm,0,747,406,392,206,256
Sputnik,0,1,153,254,333,410
AstraZeneca,1,0,151,353,470,333
Cansino,1,0,0,0,0,0
Moderna,1,24,31,9,83,146
Pfizer,1,237,272,5,1,0
Sinopharm,1,738,418,405,207,260
Sputnik,1,1,128,228,239,261
AstraZeneca,2,0,159,272,330,632
Cansino,2,0,0,0,0,0
Moderna,2,53,489,461,310,55
Pfizer,2,339,219,176,330,304
Sinopharm,2,607,0,0,0,0
Sputnik,2,1,133,91,30,9
