day,dose,5-14,15-24,25-39,40-64,65+
369,0,0,0,0,1,0
376,0,0,0,1,1,0
383,0,0,6,21,36,0
390,0,0,0,1,0,0
404,0,0,1,3,6,1
411,0,0,1,6,7,3
418,0,0,1,2,3,35
425,0,0,0,1,4,90
432,0,0,3,13,15,41
439,0,0,10,22,27,31
446,0,0,7,25,69,37
453,0,0,1,11,35,31
460,0,0,1,1,66,66
467,0,0,1,7,75,55
474,0,0,4,9,48,12
481,0,0,7,16,59,9
488,0,0,9,17,52,9
495,0,0,9,28,74,6
502,0,0,6,14,45,6
509,0,0,17,53,115,4
516,0,0,34,73,100,6
523,0,0,33,87,157,8
530,0,0,13,33,85,2
537,0,0,15,35,60,2
544,0,0,64,162,117,1
551,0,0,40,78,31,2
558,0,0,32,60,26,1
565,0,0,76,139,40,3
572,0,0,111,117,36,2
579,0,21,67,66,24,1
586,0,5,25,22,11,1
593,0,2,22,28,13,4
600,0,6,25,31,10,2
607,0,0,8,11,5,2
614,0,1,10,12,7,0
621,0,2,14,22,7,1
628,0,20,32,16,8,2
635,0,17,24,8,2,0
642,0,50,59,15,4,2
649,0,50,28,7,3,0
656,0,225,59,9,4,0
663,0,99,19,10,4,0
670,0,214,44,7,2,1
677,0,119,16,4,2,0
684,0,55,3,3,1,0
691,0,15,4,4,1,0
698,0,16,3,1,2,0
705,0,10,3,3,3,0
712,0,1,0,0,0,0
390,1,0,0,0,0,0
397,1,0,0,1,2,0
404,1,0,6,20,36,0
411,1,0,0,1,0,0
418,1,0,0,0,0,0
425,1,0,0,3,5,1
432,1,0,1,0,1,0
439,1,0,1,8,8,34
453,1,0,1,0,0,1
460,1,0,1,1,2,7
467,1,0,0,2,11,11
474,1,0,3,12,22,30
481,1,0,7,29,35,30
488,1,0,3,11,53,36
495,1,0,3,12,36,16
502,1,0,0,2,7,9
509,1,0,1,1,4,4
516,1,0,1,2,28,86
523,1,0,3,6,41,29
530,1,0,1,1,42,40
537,1,0,1,4,9,4
544,1,0,3,8,30,6
551,1,0,3,11,49,24
558,1,0,10,42,110,16
565,1,0,11,34,67,5
572,1,0,19,53,79,7
579,1,0,27,64,53,5
586,1,0,49,106,141,13
593,1,0,41,93,103,10
600,1,0,29,51,87,7
607,1,3,70,104,77,6
614,1,20,123,159,81,4
621,1,2,76,116,72,8
628,1,4,24,43,25,2
635,1,4,21,37,16,1
642,1,0,15,23,10,2
649,1,1,14,21,14,0
656,1,7,21,19,17,2
663,1,27,37,15,11,1
670,1,19,18,5,3,1
677,1,72,43,8,6,0
684,1,95,39,8,3,1
691,1,63,11,11,4,1
698,1,68,31,11,7,1
705,1,42,5,4,2,1
712,1,10,11,0,0,0
670,2,0,0,0,1,2
677,2,0,0,1,6,2
684,2,0,0,0,1,1
691,2,0,1,1,30,4
698,2,1,1,5,78,145
705,2,0,1,7,34,19
712,2,0,0,1,20,9
