type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,180,276,330,404
Cansino,0,0,16,18,6,1
Moderna,0,90,93,0,0,0
Pfizer,0,186,195,0,0,0
Sinopharm,0,723,423,535,323,144
Sputnik,0,1,93,171,341,451
AstraZeneca,1,0,195,291,335,405
Cansino,1,0,1,1,0,0
Moderna,1,108,121,40,78,33
Pfizer,1,199,185,2,0,0
Sinopharm,1,692,428,537,322,138
Sputnik,1,1,70,129,265,424
AstraZeneca,2,0,206,267,643,763
Cansino,2,0,0,0,0,0
Moderna,2,0,13,10,6,3
Pfizer,2,90,760,695,329,208
Sinopharm,2,909,0,0,0,2
Sputnik,2,1,21,28,22,24
