day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,35,149,121,0
369,0,0,153,565,493,2
376,0,0,101,372,389,0
383,0,0,33,119,171,10
390,0,0,2,13,31,10
397,0,0,2,28,26,7
404,0,0,32,259,423,25
411,0,0,82,387,584,76
418,0,0,175,879,1292,1140
425,0,0,119,748,2345,1761
432,0,0,166,1310,3361,1560
439,0,0,82,486,1245,4486
446,0,0,36,250,477,3155
453,0,0,10,93,230,4414
460,0,0,62,358,435,8343
467,0,0,93,642,3494,5855
474,0,0,62,410,3787,3797
481,0,0,168,493,5018,3536
488,0,0,88,242,2913,2451
495,0,0,25,105,435,384
502,0,0,41,162,2085,1681
509,0,0,70,287,627,201
516,0,0,296,1456,10895,1399
523,0,0,1438,4622,15870,536
530,0,0,1315,3944,7984,270
537,0,0,702,1812,18708,218
544,0,0,702,14636,9937,201
551,0,0,2024,13481,2822,155
558,0,0,7558,10131,2264,173
565,0,0,9292,8901,1666,176
572,0,0,4835,5280,1529,126
579,0,910,1931,1605,766,98
586,0,382,558,291,193,40
593,0,95,1712,2600,1416,202
600,0,99,1397,1711,721,106
607,0,115,1834,1859,657,94
614,0,142,553,581,249,33
621,0,71,733,878,374,79
628,0,1629,1927,456,234,37
635,0,350,1162,1143,461,51
642,0,758,1244,667,260,30
649,0,6750,2561,529,199,33
656,0,8158,4632,388,157,29
663,0,9483,2424,446,185,30
670,0,12178,850,346,134,27
677,0,7389,1102,366,133,39
684,0,4061,690,232,114,20
691,0,1943,293,196,103,23
698,0,1950,350,230,130,33
705,0,1266,247,208,150,32
712,0,1187,271,283,190,51
719,0,787,275,305,210,32
726,0,678,373,449,304,68
733,0,2043,856,972,609,116
740,0,2374,924,807,441,81
747,0,932,356,378,185,30
754,0,725,326,284,179,44
761,0,13,7,7,9,2
376,1,0,0,0,1,0
383,1,0,25,112,103,0
390,1,0,95,360,315,1
397,1,0,110,415,436,1
404,1,0,60,213,220,8
411,1,0,16,54,76,8
418,1,0,6,27,42,7
425,1,0,17,137,246,19
432,1,0,47,261,397,50
439,1,0,102,576,854,99
446,1,0,75,388,534,85
453,1,0,27,113,109,16
460,1,0,47,175,236,36
467,1,0,23,104,144,41
474,1,0,16,90,164,650
481,1,0,18,122,173,21
488,1,0,97,988,3594,46
495,1,0,171,1576,3224,2228
502,1,0,131,450,1178,862
509,1,0,46,171,713,2878
516,1,0,40,278,1006,1140
523,1,0,22,71,163,544
530,1,0,44,194,406,5177
537,1,0,28,95,843,860
544,1,0,80,265,1517,1346
551,1,0,73,184,341,3170
558,1,0,16,66,276,397
565,1,0,27,89,214,6342
572,1,0,410,7304,10541,545
579,1,0,3627,8266,6846,410
586,1,0,2481,3344,11820,12164
593,1,0,675,1743,10728,2031
600,1,1,4524,6748,6983,594
607,1,590,3880,4626,8162,1787
614,1,365,1578,5454,14173,719
621,1,99,779,5070,5582,276
628,1,153,1612,3462,1760,239
635,1,139,4846,9093,2756,231
642,1,108,1549,2573,836,127
649,1,34,1695,2721,1324,193
656,1,64,1065,2005,758,116
663,1,1400,3224,2198,824,146
670,1,792,1398,904,455,92
677,1,4828,3663,875,406,77
684,1,6891,2789,550,330,62
691,1,7758,2035,683,383,61
698,1,5242,1178,438,243,49
705,1,3892,821,461,298,55
712,1,6309,908,710,363,58
719,1,4444,869,562,328,50
726,1,1762,760,867,548,86
733,1,3603,1026,1215,730,126
740,1,2128,934,832,452,73
747,1,990,377,421,211,40
754,1,982,439,497,327,59
761,1,56,37,17,15,3
523,2,0,0,0,0,0
649,2,0,1,1,0,0
656,2,0,0,0,0,0
663,2,0,1,1,11,745
670,2,0,2,3,594,1030
677,2,0,12,35,672,804
684,2,0,126,531,1563,756
691,2,1,158,686,2621,199
698,2,2,245,1266,3263,2441
705,2,3,273,2316,4533,1549
712,2,1,150,677,1390,7384
719,2,3,158,466,646,4222
726,2,2,145,749,3139,7283
733,2,3,267,1400,6825,6720
740,2,67,276,1341,7613,5047
747,2,12,1746,5934,4346,1577
754,2,6,2889,4728,9703,698
761,2,0,32,115,443,21
