type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,182,367,429,178
Cansino,0,0,13,13,5,3
Moderna,0,31,39,2,1,0
Pfizer,0,222,250,0,0,0
Sinopharm,0,745,309,369,221,105
Sputnik,0,2,207,249,344,714
AstraZeneca,1,0,189,381,437,178
Cansino,1,0,0,0,0,0
Moderna,1,34,48,16,105,260
Pfizer,1,241,258,5,1,0
Sinopharm,1,723,332,388,227,105
Sputnik,1,2,173,210,230,457
AstraZeneca,2,0,181,306,429,624
Cansino,2,0,0,0,0,0
Moderna,2,47,516,429,250,56
Pfizer,2,477,114,159,239,309
Sinopharm,2,474,0,0,0,0
Sputnik,2,2,189,106,82,11
