day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,0,0
369,0,0,6,27,44,0
376,0,0,4,22,36,0
383,0,0,5,16,28,2
390,0,0,0,0,1,0
397,0,0,0,0,1,0
404,0,0,4,16,28,7
411,0,0,2,9,11,8
418,0,0,7,25,37,288
425,0,0,7,18,28,223
432,0,0,20,74,74,87
439,0,0,18,90,105,12
446,0,0,14,44,45,219
453,0,0,3,9,13,335
460,0,0,3,13,313,414
467,0,0,2,4,177,351
474,0,0,3,3,77,92
481,0,0,2,3,206,206
488,0,0,14,49,280,83
495,0,0,1,5,21,12
502,0,0,2,8,112,48
509,0,0,25,65,255,85
516,0,0,83,294,460,30
523,0,0,77,241,928,60
530,0,0,45,159,635,36
537,0,0,35,318,745,7
544,0,0,83,542,434,15
551,0,0,493,814,188,13
558,0,0,327,463,169,9
565,0,0,438,449,283,9
572,0,0,96,139,54,5
579,0,26,387,704,298,26
586,0,17,61,63,41,6
593,0,9,77,97,55,7
600,0,13,93,107,95,15
607,0,24,125,139,77,11
614,0,7,30,34,17,2
621,0,12,272,265,82,15
628,0,61,220,192,69,6
635,0,7,50,68,37,4
642,0,116,161,60,31,2
649,0,105,165,121,37,3
656,0,911,337,42,17,1
663,0,575,284,93,45,5
670,0,706,118,14,5,0
677,0,1351,113,21,6,2
684,0,144,29,11,3,0
691,0,23,6,3,3,1
383,1,0,0,0,0,0
390,1,0,6,25,42,0
397,1,0,3,19,31,0
404,1,0,5,20,32,1
411,1,0,0,0,2,1
418,1,0,1,1,1,0
425,1,0,3,15,28,7
432,1,0,0,2,3,6
439,1,0,5,21,33,15
446,1,0,4,16,28,8
453,1,0,0,2,0,0
460,1,0,0,0,1,0
467,1,0,1,1,1,27
474,1,0,1,8,10,36
481,1,0,4,6,2,1
488,1,0,6,18,23,65
495,1,0,26,132,478,353
502,1,0,5,9,18,18
509,1,0,10,17,17,486
516,1,0,2,5,66,127
523,1,0,1,3,18,69
530,1,0,1,3,19,136
537,1,0,1,2,7,75
544,1,0,1,2,85,132
551,1,0,1,3,49,144
558,1,0,1,4,40,85
565,1,0,7,33,144,119
572,1,0,51,386,177,58
579,1,0,92,154,164,34
586,1,0,288,473,865,100
593,1,0,57,118,384,100
600,1,0,131,437,788,54
607,1,4,80,147,301,39
614,1,6,182,347,421,53
621,1,3,463,840,701,66
628,1,27,111,159,86,11
635,1,21,152,254,155,11
642,1,17,103,162,82,10
649,1,6,261,375,291,15
656,1,61,111,78,47,7
663,1,27,127,162,73,7
670,1,102,263,195,109,18
677,1,238,247,35,22,5
684,1,577,175,36,23,6
691,1,95,119,123,51,4
663,2,0,0,0,0,0
670,2,0,0,0,0,2
677,2,0,0,1,277,235
684,2,0,0,1,17,47
691,2,0,0,1,9,12
