type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,204,340,461,365
Cansino,0,0,13,16,8,3
Moderna,0,45,47,0,0,0
Pfizer,0,207,220,1,0,0
Sinopharm,0,746,314,416,222,235
Sputnik,0,2,202,227,309,397
AstraZeneca,1,0,193,337,468,369
Cansino,1,0,0,0,0,0
Moderna,1,51,78,35,57,30
Pfizer,1,205,219,5,1,0
Sinopharm,1,742,336,431,224,239
Sputnik,1,2,174,192,250,362
AstraZeneca,2,0,264,313,666,876
Cansino,2,0,0,0,0,0
Moderna,2,43,21,14,4,1
Pfizer,2,782,648,597,252,84
Sinopharm,2,173,1,0,0,0
Sputnik,2,2,66,76,78,39
