day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,6,6,0
369,0,0,5,25,30,0
376,0,0,3,15,15,1
383,0,0,2,6,9,0
390,0,0,1,4,3,1
397,0,0,1,15,18,0
404,0,0,8,30,56,4
411,0,0,14,70,124,15
418,0,0,27,107,165,352
425,0,0,22,81,147,35
432,0,0,20,142,434,168
439,0,0,11,82,251,340
446,0,0,1,22,155,263
453,0,0,2,8,25,414
460,0,0,4,16,34,1231
467,0,0,13,105,361,1202
474,0,0,7,48,288,1053
481,0,0,22,66,760,657
488,0,0,4,23,479,421
495,0,0,1,6,179,158
502,0,0,2,11,531,441
509,0,0,6,18,216,169
516,0,0,129,317,1973,192
523,0,0,110,469,1882,100
530,0,0,107,354,1057,46
537,0,0,63,151,2519,22
544,0,0,58,798,1424,35
551,0,0,88,1983,1006,22
558,0,0,683,2221,556,27
565,0,0,1334,1593,280,33
572,0,1,735,866,298,32
579,0,70,231,304,143,14
586,0,42,53,28,20,4
593,0,26,223,295,152,22
600,0,11,524,585,198,30
607,0,13,636,545,84,15
614,0,11,82,88,38,4
621,0,17,52,51,22,1
628,0,79,96,23,6,1
635,0,17,127,155,75,18
642,0,23,64,56,20,5
649,0,808,105,79,27,6
656,0,1049,666,38,14,2
663,0,1240,273,73,35,3
670,0,1552,63,43,15,3
677,0,1187,489,51,22,2
684,0,550,235,20,13,3
691,0,198,56,15,7,3
698,0,300,183,24,13,1
705,0,194,44,30,22,5
712,0,127,66,39,25,11
719,0,155,53,46,33,7
726,0,94,58,62,44,7
733,0,273,99,109,62,16
740,0,265,80,66,44,11
747,0,111,40,39,37,6
754,0,100,32,30,19,3
761,0,1,1,3,1,1
383,1,0,1,5,6,0
390,1,0,5,13,20,0
397,1,0,2,18,21,1
404,1,0,2,9,11,0
411,1,0,2,8,4,0
418,1,0,1,11,15,1
425,1,0,6,27,43,2
432,1,0,14,56,94,13
439,1,0,8,54,95,11
446,1,0,2,15,24,3
453,1,0,1,2,6,1
460,1,0,1,8,9,1
467,1,0,1,3,6,1
474,1,0,1,4,5,6
481,1,0,1,5,7,0
488,1,0,4,33,96,5
495,1,0,18,188,580,104
502,1,0,16,75,445,540
509,1,0,18,60,200,512
516,1,0,18,95,197,370
523,1,0,4,7,32,680
530,1,0,8,62,122,640
537,1,0,3,15,58,129
544,1,0,11,39,588,713
551,1,0,8,22,88,517
558,1,0,3,11,48,57
565,1,0,5,9,69,476
572,1,0,63,812,1846,72
579,1,0,223,1250,1268,83
586,1,0,360,748,1207,1200
593,1,0,42,115,442,89
600,1,0,602,1191,1090,122
607,1,42,705,706,986,624
614,1,25,229,589,2964,197
621,1,25,105,427,1001,63
628,1,34,657,874,577,44
635,1,11,191,1025,539,25
642,1,6,93,297,169,12
649,1,4,121,326,156,18
656,1,4,330,648,214,20
663,1,68,726,755,164,22
670,1,46,259,203,40,7
677,1,472,136,82,35,8
684,1,645,99,36,19,6
691,1,570,259,84,58,15
698,1,1113,342,67,25,5
705,1,1120,177,58,30,5
712,1,972,595,62,39,14
719,1,757,242,75,35,6
726,1,312,181,91,49,11
733,1,382,155,134,86,18
740,1,225,93,73,45,6
747,1,105,48,40,27,6
754,1,145,70,62,36,6
761,1,26,4,3,4,1
663,2,0,0,0,56,63
670,2,0,0,0,126,301
677,2,0,8,29,202,231
684,2,0,6,27,148,23
691,2,0,19,101,280,37
698,2,0,14,69,185,55
705,2,0,13,117,239,280
712,2,1,27,113,529,1122
719,2,0,13,55,216,609
726,2,0,30,169,547,1062
733,2,0,22,166,987,1233
740,2,2,77,322,956,856
747,2,2,167,427,1251,663
754,2,1,204,620,978,108
761,2,0,1,11,75,4
