day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,3,3,0
369,0,0,2,12,14,0
376,0,0,1,6,7,0
383,0,0,1,3,4,0
390,0,0,1,1,1,0
397,0,0,1,7,7,0
404,0,0,3,13,25,2
411,0,0,7,30,53,7
418,0,0,11,47,73,152
425,0,0,10,36,63,15
432,0,0,9,61,188,70
439,0,0,4,35,108,143
446,0,0,1,10,65,111
453,0,0,1,4,11,176
460,0,0,1,7,15,521
467,0,0,5,46,154,510
474,0,0,3,20,122,447
481,0,0,9,28,324,278
488,0,0,1,11,204,179
495,0,0,0,4,76,67
502,0,0,1,4,225,187
509,0,0,3,8,91,72
516,0,0,54,135,836,81
523,0,0,49,204,809,42
530,0,0,48,155,449,20
537,0,0,27,66,1075,10
544,0,0,24,350,609,15
551,0,0,38,851,424,10
558,0,0,292,940,236,11
565,0,0,570,679,119,14
572,0,0,311,366,126,13
579,0,58,68,126,61,6
586,0,32,5,13,8,2
593,0,20,83,126,64,9
600,0,7,215,246,84,13
607,0,4,265,231,36,6
614,0,4,30,37,16,2
621,0,10,14,21,9,1
628,0,70,7,10,2,0
635,0,9,46,66,32,8
642,0,19,17,23,8,2
649,0,361,28,33,11,2
656,0,704,13,17,6,1
663,0,108,10,11,3,0
383,1,0,1,2,2,0
390,1,0,2,6,9,0
397,1,0,1,8,9,0
404,1,0,1,4,5,0
411,1,0,1,3,2,0
418,1,0,1,5,6,0
425,1,0,2,12,19,1
432,1,0,6,23,40,6
439,1,0,4,25,42,4
446,1,0,1,7,11,1
453,1,0,0,1,3,0
460,1,0,1,3,5,0
467,1,0,0,1,3,1
474,1,0,0,1,1,2
481,1,0,0,2,4,0
488,1,0,2,15,43,2
495,1,0,8,82,248,43
502,1,0,7,32,189,228
509,1,0,7,26,86,218
516,1,0,7,40,84,157
523,1,0,1,3,14,287
530,1,0,4,26,51,271
537,1,0,1,7,25,56
544,1,0,5,18,248,301
551,1,0,3,9,37,218
558,1,0,1,5,21,23
565,1,0,2,4,29,203
572,1,0,26,351,789,30
579,1,0,99,539,543,34
586,1,0,149,314,514,509
593,1,0,18,49,194,38
600,1,0,259,509,463,51
607,1,35,281,302,422,265
614,1,15,86,251,1255,83
621,1,19,34,185,426,27
628,1,25,263,370,242,18
635,1,7,78,438,228,10
642,1,2,38,129,73,5
649,1,0,50,139,66,8
656,1,3,138,273,90,8
663,1,0,32,70,23,4
