type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,164,277,463,337
Cansino,0,0,1,1,0,0
Moderna,0,26,28,0,0,0
Pfizer,0,249,263,2,1,1
Sinopharm,0,724,356,463,256,187
Sputnik,0,1,188,257,280,475
AstraZeneca,1,0,169,284,468,340
Cansino,1,0,0,0,0,0
Moderna,1,29,33,6,61,194
Pfizer,1,260,262,4,0,0
Sinopharm,1,709,377,481,261,190
Sputnik,1,2,159,225,210,276
AstraZeneca,2,0,215,304,432,548
Cansino,2,0,1,0,0,0
Moderna,2,80,438,337,212,81
Pfizer,2,280,234,295,334,359
Sinopharm,2,640,0,0,1,0
Sputnik,2,0,112,64,21,12
