day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,0,0,0
369,0,0,3,17,31,0
376,0,0,1,7,8,0
383,0,0,2,14,24,1
390,0,0,0,2,6,2
397,0,0,1,7,6,1
404,0,0,1,5,17,1
411,0,0,2,8,23,8
418,0,0,7,33,71,35
425,0,0,6,20,15,143
432,0,0,8,46,36,158
439,0,0,18,73,86,147
446,0,0,17,40,59,181
453,0,0,2,4,10,290
460,0,0,2,12,55,470
467,0,0,3,7,122,576
474,0,0,1,4,254,264
481,0,0,2,12,272,215
488,0,0,5,18,390,269
495,0,0,7,17,76,20
502,0,0,4,12,189,18
509,0,0,15,48,294,62
516,0,0,61,212,378,23
523,0,0,122,382,664,29
530,0,0,23,78,394,18
537,0,0,22,77,647,33
544,0,0,46,313,976,22
551,0,0,63,845,148,10
558,0,0,394,418,367,9
565,0,0,358,380,94,11
572,0,0,467,546,91,15
579,0,46,152,469,101,11
586,0,120,455,462,246,29
593,0,7,37,46,33,7
600,0,21,77,86,93,24
607,0,7,35,41,31,4
614,0,14,43,43,32,6
621,0,8,31,33,13,3
628,0,20,87,115,48,6
635,0,42,58,27,13,3
642,0,41,113,78,30,2
649,0,189,140,13,5,2
656,0,408,256,29,11,1
663,0,453,211,23,9,4
670,0,540,29,17,9,2
677,0,674,73,8,8,1
684,0,242,24,13,3,1
691,0,28,7,5,7,0
698,0,183,8,9,3,1
705,0,34,6,3,2,2
712,0,0,1,0,0,1
390,1,0,3,15,29,0
397,1,0,1,7,10,0
404,1,0,2,13,17,1
411,1,0,0,5,12,2
418,1,0,1,6,6,1
425,1,0,1,5,16,2
432,1,0,1,5,24,5
439,1,0,3,24,43,8
446,1,0,4,12,18,3
453,1,0,1,1,0,0
460,1,0,0,4,6,0
467,1,0,1,0,1,27
474,1,0,0,1,1,3
481,1,0,5,17,22,13
488,1,0,14,72,78,27
495,1,0,15,48,111,69
502,1,0,4,10,58,296
509,1,0,4,13,22,18
516,1,0,2,9,144,362
523,1,0,6,13,120,294
530,1,0,2,6,49,165
537,1,0,3,11,43,49
544,1,0,2,12,54,111
551,1,0,11,18,38,49
558,1,0,3,13,58,234
565,1,0,17,56,256,454
572,1,0,26,109,169,27
579,1,0,24,70,155,65
586,1,1,82,298,490,73
593,1,0,48,146,579,227
600,1,0,115,223,196,43
607,1,2,105,225,354,101
614,1,23,448,730,1119,75
621,1,78,372,449,318,33
628,1,36,109,389,629,31
635,1,22,133,389,113,14
642,1,6,76,231,72,12
649,1,10,157,153,232,8
656,1,8,46,58,39,7
663,1,63,297,365,167,28
670,1,35,101,114,87,9
677,1,17,27,20,13,4
684,1,251,110,22,15,3
691,1,385,232,50,34,3
698,1,486,198,21,11,1
705,1,268,21,12,7,1
712,1,3,2,1,1,0
635,2,0,0,0,1,0
670,2,0,1,1,30,20
677,2,0,1,1,23,22
684,2,0,0,1,31,22
691,2,0,1,4,35,38
698,2,0,5,30,151,203
705,2,0,2,15,81,126
712,2,0,1,1,1,1
