type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,126,286,426,281
Cansino,0,0,8,8,4,3
Moderna,0,81,82,0,0,0
Pfizer,0,203,206,0,0,0
Sinopharm,0,714,422,501,266,278
Sputnik,0,2,156,205,304,438
AstraZeneca,1,0,129,297,436,280
Moderna,1,93,91,12,63,62
Pfizer,1,224,210,3,0,0
Sinopharm,1,681,439,508,265,277
Sputnik,1,2,131,180,236,381
AstraZeneca,2,0,543,506,633,869
Cansino,2,0,0,0,0,0
Moderna,2,0,28,21,5,1
Pfizer,2,312,366,413,253,80
Sinopharm,2,625,11,1,2,0
Sputnik,2,63,52,59,107,50
