Google_Maps_type,Google_Place_type,Activity_type,Area,Covered_area,Workers_place,Workers_area,Chance_1,Chance_2,Chance_3,Chance_4,Chance_5
accounting,accounting,3,100,90,0,20,0,2,3,3,1
art_gallery,art_gallery,2,150,80,4,0,0,1,2,3,2
art_center,art_gallery,,,,,,,,,,
association_or_organization,association_or_organization,3,240,80,0,30,0,2,2,3,2
non_profit_organization,association_or_organization,,,,,,,,,,
non_governmental_organization,association_or_organization,,,,0,15,,,,,
political_party,association_or_organization,,150,80,0,15,,,,,
atm,atm,3,50,100,2,0,3,6,10,12,14
bakery,bakery,3,100,70,0,60,20,14,16,16,18
wholesale_bakery,bakery,,,,,,,,,,
bank,bank,3,350,80,0,40,1,2,5,6,4
bar,bar,2,120,80,0,20,5,8,10,7,3
beauty_salon,beauty_salon,2,100,80,0,20,1,6,8,4,2
beautician,beauty_salon,,,,,,,,,,
bicycle_store,bicycle_store,3,100,90,0,40,10,8,4,2,0
bicycle_repair_shop,bicycle_store,,60,90,,,,,,,
book_store,book_store,3,80,90,3,0,12,10,6,4,2
pen_store,book_store,,,,,,,,,,
copy_shop,book_store,,,,,,,,,,
commercial_printer,book_store,,,,,,,,,,
bus,bus,3,40,100,1,0,45,28,15,10,5
bus_station,bus_station,2,4200,60,0,60,2,3,5,4,2
cafe,cafe,3,100,90,0,20,2,7,12,15,10
campground,campground,2,20000,10,2,0,6,4,4,3,2
car_dealer,car_dealer,3,350,80,0,20,0,1,2,3,1
motorcycle_dealer,car_dealer,,100,90,0,20,,,,,
car_repair,car_repair,3,120,80,0,20,0,2,4,6,2
car_wash,car_wash,3,120,60,0,20,0,2,4,6,2
casino,casino,2,1000,100,0,20,0,2,4,6,8
cemetery,cemetery,3,85000,10,4,0,1,1,2,4,6
church,church,2,1500,80,6,0,7,3,3,7,14
place_of_worship,church,,,,,,,,,,
religious_institution,church,,,,,,,,,,
clothing_store,clothing_store,3,100,100,0,20,10,15,15,10,6
childrens_clothing_store,clothing_store,,80,100,,,,,,,
club,club,2,2500,70,0,80,15,12,7,7,5
construction_company,construction_company,1,100,80,0,15,0,0,0,0,0
building_firm,construction_company,,,,,,,,,,
housing_development,construction_company,,,,,,,,,,
home_builder,construction_company,,,,,,,,,,
housing_cooperative,construction_company,,,,,,,,,,
convenience_store,convenience_store,3,80,100,0,20,20,30,50,70,45
grocery_or_supermarket,convenience_store,,,,0,40,,,,,
butcher_shop,convenience_store,,,,,,,,,,
poultry_store,convenience_store,,70,90,,,,,,,
fruit_and_vegetable_store,convenience_store,,50,60,,,,,,,
health_food_store,convenience_store,,,,,,,,,,
grocery_store,convenience_store,,,,0,30,,,,,
market,convenience_store,,,,0,30,,,,,
farm,convenience_store,,,,,,,,,,
fresh_food_market,convenience_store,,,,,,,,,,
cold_cut_store,convenience_store,,,,,,,,,,
corporate_office,corporate_office,1,750,80,0,15,0,0,0,0,0
radio_broadcaster,corporate_office,,,,,,,,,,
software_company,corporate_office,,,,0,10,,,,,
manufacturer,corporate_office,,,,,,,,,,
media_company,corporate_office,,,,,,,,,,
engineering_consultant,corporate_office,,,,,,,,,,
news_service,corporate_office,,,,,,,,,,
electric_utility_company,corporate_office,,,,,,,,,,
television_station,corporate_office,,,,,,,,,,
web_hosting_service,corporate_office,,,,0,30,,,,,
power_plant,corporate_office,,2000,10,6,0,,,,,
courthouse,courthouse,1,200,100,0,20,0,0,0,0,0
cultural_center,cultural_center,2,1600,80,0,40,3,8,12,10,8
community_center,cultural_center,,1000,70,,,,,,,
convention_center,cultural_center,,,,,,,,,,
dentist,dentist,3,50,100,3,0,3,2,2,2,3
department_store,department_store,3,15000,80,0,80,7,10,15,15,10
doctor,doctor,3,60,100,4,0,4,2,2,4,6
psychologist,doctor,,,,,,,,,,
medical_office,doctor,,,,,,,,,,
optician,doctor,,,,,,,,,,
nutritionist,doctor,,,,,,,,,,
psychotherapist,doctor,,,,,,,,,,
medic,doctor,,,,,,,,,,
health_consultant,doctor,,,,,,,,,,
mental_health_service,doctor,,,,,,,,,,
counselor,doctor,,,,,,,,,,
drugstore,drugstore,3,60,100,2,0,30,25,20,20,15
kiosk,drugstore,,,,2,0,,,,,
ice_cream_shop,drugstore,,,,4,0,,,,,
money_transfer_service,drugstore,,,,,,,,,,
lottery_retailer,drugstore,,,,2,0,,,,,
lottery_shop,drugstore,,,,,,,,,,
betting_agency,drugstore,,,,2,0,,,,,
dessert_shop,drugstore,,,,4,0,,,,,
newsstand,drugstore,,20,0,1,0,,,,,
candy_store,drugstore,,,,,,,,,,
electronics_store,electronics_store,3,250,80,0,25,4,6,8,8,4
electronics_repair_shop,electronics_store,,140,100,0,20,,,,,
fire_station,fire_station,1,300,80,0,30,0,0,0,0,0
florist,florist,3,100,60,0,40,0,1,2,2,4
funeral_home,funeral_home,3,800,50,6,0,0,1,1,1,3
furniture_store,furniture_store,3,150,80,0,30,1,1,2,3,1
furniture_manufacturer,furniture_store,,200,80,0,25,,,,,
gas_station,gas_station,3,800,30,8,0,4,10,15,15,10
gym,gym,2,180,80,8,0,6,20,16,12,7
hair_care,hair_care,3,80,100,0,20,4,5,5,4,3
hardware_store,hardware_store,3,200,80,0,25,3,6,14,18,8
building_materials_supplier,hardware_store,,,,,,,,,,
building_materials_store,hardware_store,,,,,,,,,,
lumber_store,hardware_store,,,,,,,,,,
door_supplier,hardware_store,,,,,,,,,,
metal_supplier,hardware_store,,,,,,,,,,
tool_store,hardware_store,,,,,,,,,,
home_goods_store,home_goods_store,3,120,100,0,40,2,4,6,8,4
hospital,hospital,3,15000,70,0,50,0,0,1,2,4
insurance_agency,insurance_agency,3,100,90,0,12,0,1,2,3,1
insurance_company,insurance_agency,,120,100,0,12,,,,,
internet_service_provider,internet_service_provider,3,160,100,0,20,1,2,2,2,1
cable_company,internet_service_provider,,,,,,,,,,
telephone_company,internet_service_provider,,,,,,,,,,
jewelry_store,jewelry_store,3,100,100,0,25,0,1,2,3,2
laundry,laundry,3,100,100,3,0,0,2,4,2,3
law_firm,law_firm,3,140,80,0,20,0,1,2,3,1
labor_union,law_firm,,200,80,0,15,,,,,
financial_institution,law_firm,,,,,,,,,,
legal_services,law_firm,,,,,,,,,,
loan_agency,law_firm,,,,,,,,,,
lawyer,lawyer,3,100,80,3,0,0,1,2,4,2
notary_public,lawyer,,,,,,,,,,
land_surveyor,lawyer,,,,,,,,,,
library,library,3,500,90,4,0,5,10,15,7,2
liquor_store,liquor_store,3,80,100,0,30,0,10,12,14,10
