day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,11,54,56,1
369,0,0,52,232,214,2
376,0,0,50,252,394,1
383,0,0,52,285,438,17
390,0,0,0,4,26,14
397,0,0,5,30,144,20
404,0,0,11,72,132,23
411,0,0,41,179,323,95
418,0,0,135,630,1064,702
425,0,0,77,353,424,1148
432,0,0,55,277,252,2612
439,0,0,111,471,689,2374
446,0,0,89,315,514,2546
453,0,0,33,131,445,4707
460,0,0,38,169,2316,4314
467,0,0,32,185,2573,3411
474,0,0,18,98,3415,3041
481,0,0,27,124,2002,1296
488,0,0,14,60,2592,1081
495,0,0,30,88,1447,656
502,0,0,46,196,2544,494
509,0,0,127,1301,1947,246
516,0,1,827,2696,5365,754
523,0,0,504,1744,8840,401
530,0,0,432,1404,10058,218
537,0,0,340,2495,7216,190
544,0,1,831,10583,4326,115
551,0,1,554,2949,2691,90
558,0,0,4083,5987,1606,88
565,0,1,3277,5281,1473,105
572,0,0,5434,5716,1262,95
579,0,253,1893,2269,999,100
586,0,217,766,872,393,44
593,0,55,404,618,777,86
600,0,53,1030,1606,508,73
607,0,74,1296,1546,641,66
614,0,83,375,445,205,32
621,0,68,234,271,156,26
628,0,110,496,423,161,20
635,0,549,1164,831,358,49
642,0,876,1100,326,151,22
649,0,1338,1739,861,356,25
656,0,2845,2701,671,295,34
663,0,3643,1405,410,191,30
670,0,7620,657,90,49,8
677,0,2295,106,42,18,3
383,1,0,8,41,47,0
390,1,0,35,145,142,0
397,1,0,42,238,312,1
404,1,0,57,290,464,12
411,1,0,11,66,111,15
418,1,0,3,18,36,6
425,1,0,15,86,248,32
432,1,0,16,87,170,33
439,1,0,53,265,478,134
446,1,0,29,176,286,55
453,1,0,14,67,44,2
460,1,0,11,41,98,93
467,1,0,7,32,65,39
474,1,0,4,13,26,4
481,1,0,49,164,121,550
488,1,0,125,604,2253,2110
495,1,0,40,209,1165,1383
502,1,0,65,208,1131,983
509,1,0,54,265,932,1610
516,1,0,54,251,844,1635
523,1,0,21,92,307,1737
530,1,0,9,32,110,1296
537,1,0,5,30,91,151
544,1,0,15,32,90,360
551,1,0,15,70,1365,2905
558,1,0,15,66,366,1419
565,1,0,44,163,896,3568
572,1,0,326,4314,2696,572
579,1,0,2223,3578,4177,330
586,1,0,992,2325,6007,2203
593,1,0,993,1998,7276,1350
600,1,1,1065,3044,5489,1974
607,1,2,1946,4540,8577,637
614,1,229,2370,7086,4366,549
621,1,187,2227,4062,4863,548
628,1,42,1195,2326,3210,317
635,1,46,1086,1555,1523,150
642,1,98,624,1164,961,165
649,1,76,756,1258,595,62
656,1,95,979,1588,1237,166
663,1,129,734,956,458,59
670,1,103,259,279,202,29
677,1,199,231,80,66,11
488,2,0,0,0,0,0
663,2,0,0,0,3,2
670,2,0,1,4,339,382
677,2,0,2,4,122,69
677,3,0,0,0,0,0
