Google_Maps_type,Google_Place_type,Activity_type,Area,Covered_area,Workers_place,Workers_area,Chance_1,Chance_2,Chance_3,Chance_4,Chance_5
accounting,accounting,3,120,90,0,20,0,2,3,3,1
art_gallery,art_gallery,2,200,80,4,0,0,1,2,3,2
art_center,art_gallery,,,,,,,,,,
association_or_organization,association_or_organization,3,500,80,0,30,0,2,2,3,2
non_profit_organization,association_or_organization,,,,,,,,,,
non_governmental_organization,association_or_organization,,,,0,15,,,,,
religious_organization,association_or_organization,,300,80,0,25,,,,,
political_party,association_or_organization,,200,80,0,15,,,,,
embassy,association_or_organization,,200,80,0,15,,,,,
atm,atm,3,70,100,2,0,4,12,14,16,8
bakery,bakery,3,120,70,0,60,10,12,18,16,14
wholesale_bakery,bakery,,,,,,,,,,
bank,bank,3,400,80,0,40,1,2,5,6,4
bar,bar,2,140,80,0,20,2,6,10,10,3
beauty_salon,beauty_salon,2,120,100,0,20,1,6,8,4,2
beautician,beauty_salon,,,,,,,,,,
tanning_studio,beauty_salon,,,,,,,,,,
stylist,beauty_salon,,70,100,0,30,,,,,
makeup_artist,beauty_salon,,70,100,0,30,,,,,
bicycle_store,bicycle_store,3,140,90,0,40,10,8,4,2,0
bicycle_repair_shop,bicycle_store,,75,90,,,,,,,
book_store,book_store,3,110,90,3,0,12,10,6,4,2
office_supply_store,book_store,,140,90,5,0,,,,,
stationery_store,book_store,,140,90,6,0,,,,,
pen_store,book_store,,,,,,,,,,
copy_shop,book_store,,,,,,,,,,
commercial_printer,book_store,,140,100,0,15,,,,,
paper_store,book_store,,,,,,,,,,
art_supply_store,book_store,,250,100,0,25,,,,,
bus,bus,3,30,100,1,0,30,36,30,10,5
bus_station,bus_station,2,16000,70,0,70,2,3,5,4,2
cafe,cafe,3,120,90,0,20,2,7,12,15,10
cafeteria,cafe,,,,,,,,,,
coffee_store,cafe,,150,90,,,,,,,
campground,campground,2,20000,10,2,0,6,4,4,3,2
car_dealer,car_dealer,3,500,80,0,25,0,1,2,3,1
truck_dealer,car_dealer,,600,50,,,,,,,
motor_vehicle_dealer,car_dealer,,,,,,,,,,
motorcycle_dealer,car_dealer,,120,90,0,20,,,,,
car_repair,car_repair,3,120,80,0,20,0,2,4,6,2
auto_repair_shop,car_repair,,,,,,,,,,
car_service,car_repair,,,,,,,,,,
vehicle_inspection,car_repair,,1500,80,0,30,,,,,
car_wash,car_wash,3,160,60,0,20,0,2,4,6,2
car_detailing_service,car_wash,,,,,,,,,,
casino,casino,2,6000,80,0,20,0,2,5,7,11
race_course,casino,,4500,0,10,0,,,,,
cemetery,cemetery,3,110000,10,8,0,0,1,2,2,5
church,church,2,1000,80,6,0,4,2,2,5,9
cathedral,church,,1500,80,10,0,,,,,
synagogue,church,,800,80,10,0,,,,,
place_of_worship,church,,300,80,,,,,,,
religious_institution,church,,300,80,,,,,,,
clothing_store,clothing_store,3,120,100,0,20,14,12,6,8,10
childrens_clothing_store,clothing_store,,100,100,,,,,,,
club,club,2,2700,70,0,80,15,12,7,7,5
construction_company,construction_company,1,120,80,0,15,0,0,0,0,0
contractor,construction_company,,,,,,,,,,
building_firm,construction_company,,,,,,,,,,
housing_development,construction_company,,,,,,,,,,
home_builder,construction_company,,,,,,,,,,
housing_cooperative,construction_company,,,,,,,,,,
convenience_store,convenience_store,3,100,100,0,20,20,30,50,70,45
grocery_or_supermarket,convenience_store,,,,0,40,,,,,
butcher_shop,convenience_store,,,,,,,,,,
poultry_store,convenience_store,,80,90,,,,,,,
fish_store,convenience_store,,80,80,,,,,,,
fish_farm,convenience_store,,50,0,,,,,,,
seafood_market,convenience_store,,120,80,,,,,,,
fruit_and_vegetable_store,convenience_store,,60,60,,,,,,,
vegetable_wholesale_market,convenience_store,,100,60,,,,,,,
health_food_store,convenience_store,,,,,,,,,,
grocery_store,convenience_store,,,,0,30,,,,,
market,convenience_store,,,,0,30,,,,,
farm,convenience_store,,,,,,,,,,
farmers_market,convenience_store,,,,,,,,,,
fresh_food_market,convenience_store,,,,,,,,,,
cold_cut_store,convenience_store,,,,,,,,,,
corporate_office,corporate_office,1,2000,85,0,12,0,0,0,0,0
dairy_supplier,corporate_office,,8000,100,0,40,,,,,
ceiling_supplier,corporate_office,,3500,100,0,35,,,,,
glass_industry,corporate_office,,1500,100,0,25,,,,,
tobacco_supplier,corporate_office,,3000,90,0,25,,,,,
food_processing_company,corporate_office,,2500,90,0,30,,,,,
olive_oil_bottling_company,corporate_office,,36000,50,0,40,,,,,
water_pump_supplier,corporate_office,,8000,40,0,30,,,,,
tea_manufacturer,corporate_office,,75000,70,0,30,,,,,
agricultural_machinery_manufacturer,corporate_office,,6800,70,0,40,,,,,
industrial_design_company,corporate_office,,4500,80,0,20,,,,,
shoe_factory,corporate_office,,9000,80,0,30,,,,,
plastic_fabrication_company,corporate_office,,8000,80,0,20,,,,,
plastic_products_supplier,corporate_office,,2000,80,0,25,,,,,
rubber_products_supplier,corporate_office,,2000,80,0,25,,,,,
