day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,105,375,384,9
369,0,0,241,950,1046,18
376,0,0,281,1151,1427,16
383,0,0,140,597,808,39
390,0,0,51,169,281,104
397,0,0,66,291,486,93
404,0,0,106,397,789,235
411,0,0,142,663,1001,170
418,0,0,544,2313,3456,3423
425,0,0,230,970,3597,4652
432,0,0,385,3234,8892,5269
439,0,0,299,1560,2416,10330
446,0,0,191,1001,1702,9280
453,0,1,97,485,789,14654
460,0,0,122,569,1087,22980
467,0,1,164,1013,6350,14974
474,0,0,171,691,9767,9436
481,0,1,117,304,12208,8990
488,0,1,43,128,6644,5621
495,0,0,43,145,5048,4412
502,0,0,89,381,10840,5203
509,0,0,70,361,3242,1673
516,0,0,663,2097,24090,1474
523,0,1,4344,14380,26889,965
530,0,0,2528,8033,29246,588
537,0,0,1974,5815,40995,462
544,0,0,1528,7546,32741,403
551,0,0,1340,36435,11029,313
558,0,0,11212,45091,5522,324
565,0,2,18642,22428,3966,347
572,0,0,11826,13591,3920,365
579,0,1343,6241,7716,2829,327
586,0,1501,3168,2558,1325,336
593,0,277,9320,8711,2090,214
600,0,224,6045,6268,1588,247
607,0,432,4862,4693,1260,204
614,0,351,1845,1997,772,106
621,0,259,1203,1390,571,96
628,0,3905,5217,1720,655,104
635,0,867,2011,1620,644,117
642,0,2374,3205,1190,476,76
649,0,11379,3632,916,420,50
656,0,24385,14112,1186,455,75
663,0,26804,2943,843,342,74
670,0,27966,1923,837,344,72
677,0,11791,1604,663,308,59
684,0,6217,883,474,238,48
691,0,1477,135,96,50,11
369,1,0,0,0,0,0
376,1,0,0,1,1,0
383,1,0,43,146,134,5
390,1,0,187,780,913,14
397,1,0,230,957,1264,22
404,1,0,196,818,958,32
411,1,0,68,256,410,82
418,1,0,62,255,368,74
425,1,0,82,332,665,221
432,1,0,96,404,678,105
439,1,0,249,1118,1776,295
446,1,0,221,981,1273,204
453,1,0,63,337,501,77
460,1,0,129,554,942,283
467,1,0,82,341,359,76
474,1,0,89,379,508,1648
481,1,0,69,250,327,72
488,1,0,112,1060,6123,4450
495,1,0,551,4223,7938,2857
502,1,0,114,686,1194,2955
509,1,0,243,864,1555,4040
516,1,0,215,893,1693,4032
523,1,0,70,256,527,2860
530,1,0,42,160,755,10199
537,1,0,34,119,296,1488
544,1,1,51,178,7482,8375
551,1,0,34,142,743,7557
558,1,0,29,103,902,1235
565,1,0,40,132,637,14493
572,1,0,711,3343,26815,5756
579,1,1,1399,13264,30560,712
586,1,1,3699,8935,18380,23686
593,1,1,1141,9023,17093,11892
600,1,0,4957,19957,27498,4570
607,1,922,10431,16252,31225,5409
614,1,1184,11685,16561,32985,2360
621,1,448,4787,22768,14983,804
628,1,339,4117,9731,4366,453
635,1,227,3428,13946,4213,351
642,1,137,2468,5355,2150,235
649,1,132,7527,9847,3054,348
656,1,3768,9273,6051,1981,285
663,1,291,3481,4096,1447,242
670,1,454,3053,3446,1331,240
677,1,14862,13247,2436,1003,174
684,1,9733,3091,1099,544,107
691,1,5369,695,183,93,14
614,2,0,0,0,0,1
656,2,0,0,0,0,0
663,2,0,4,8,109,414
670,2,1,4,15,2143,5261
677,2,0,179,713,1673,1698
684,2,2,107,538,7266,4071
691,2,0,82,372,1640,492
