type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,140,282,391,171
Cansino,0,0,23,21,7,3
Moderna,0,33,37,0,0,0
Pfizer,0,216,247,2,1,0
Sinopharm,0,749,281,372,237,87
Sputnik,0,2,272,323,364,739
AstraZeneca,1,0,148,291,401,171
Cansino,1,0,0,0,0,0
Moderna,1,36,45,36,145,235
Pfizer,1,237,257,7,2,1
Sinopharm,1,726,299,386,240,87
Sputnik,1,1,251,280,212,506
AstraZeneca,2,2,337,343,387,599
Cansino,2,0,0,0,0,0
Moderna,2,67,242,349,245,41
Pfizer,2,453,271,186,313,349
Sinopharm,2,473,2,1,0,0
Sputnik,2,5,148,121,55,11
