day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,2,3,0
369,0,0,2,5,10,0
376,0,0,2,11,16,0
383,0,0,1,4,12,0
390,0,0,0,0,1,0
397,0,0,2,6,12,2
404,0,0,3,10,14,3
411,0,0,3,16,26,5
418,0,0,2,11,15,22
425,0,0,1,4,13,11
432,0,0,7,64,176,15
439,0,0,1,8,26,103
446,0,0,1,9,13,52
453,0,0,0,2,4,62
460,0,0,0,3,15,253
467,0,0,3,17,59,115
474,0,0,2,4,53,179
481,0,0,1,3,105,150
488,0,0,0,2,97,84
495,0,0,1,1,23,23
502,0,0,0,3,197,159
509,0,0,1,3,41,21
516,0,0,36,133,563,47
523,0,0,38,111,365,17
530,0,0,40,123,300,13
537,0,0,19,56,424,7
544,0,0,24,310,334,6
551,0,0,47,415,89,4
558,0,0,179,373,58,3
565,0,0,374,362,46,4
572,0,0,167,198,53,5
579,0,25,77,71,26,4
586,0,25,38,19,10,2
593,0,4,51,67,33,4
600,0,2,64,73,26,3
607,0,11,75,70,24,3
614,0,4,27,27,10,2
621,0,3,15,16,7,2
628,0,29,36,10,3,1
635,0,9,33,33,20,3
642,0,17,30,16,5,1
649,0,424,17,7,2,0
656,0,393,57,9,3,1
663,0,626,334,9,4,1
670,0,381,32,5,1,0
677,0,184,24,5,2,0
684,0,88,19,3,1,0
691,0,54,8,4,1,0
698,0,41,11,6,3,1
705,0,36,8,5,3,0
712,0,29,7,7,3,1
719,0,28,12,10,6,1
726,0,26,12,12,9,1
733,0,42,15,16,5,2
740,0,33,15,14,5,1
747,0,25,10,8,6,1
754,0,19,6,5,2,0
761,0,1,0,0,0,0
383,1,0,0,1,2,0
390,1,0,1,3,7,0
397,1,0,2,10,13,0
404,1,0,2,8,17,1
411,1,0,0,1,2,0
418,1,0,0,1,3,0
425,1,0,4,14,21,3
432,1,0,1,8,13,4
439,1,0,3,13,20,2
446,1,0,0,4,7,1
453,1,0,0,2,2,0
460,1,0,0,2,3,2
467,1,0,0,2,1,0
474,1,0,0,1,2,1
481,1,0,0,2,1,3
488,1,0,1,6,19,4
495,1,0,8,74,213,48
502,1,0,1,7,22,27
509,1,0,1,4,14,19
516,1,0,1,2,16,42
523,1,0,0,2,7,18
530,1,0,1,2,11,30
537,1,0,2,4,44,132
544,1,0,1,2,28,98
551,1,0,1,5,8,150
558,1,0,0,1,3,10
565,1,0,0,2,6,41
572,1,0,18,77,388,13
579,1,0,39,256,274,19
586,1,0,63,161,254,348
593,1,0,10,44,53,34
600,1,0,190,272,259,27
607,1,19,179,207,371,171
614,1,8,86,217,555,37
621,1,7,59,186,193,17
628,1,2,89,214,174,15
635,1,19,191,332,64,8
642,1,3,65,85,26,4
649,1,1,36,51,27,2
656,1,28,66,58,28,4
663,1,8,33,34,15,3
670,1,4,20,21,10,0
677,1,347,61,25,11,3
684,1,362,55,14,5,0
691,1,370,259,23,15,2
698,1,302,46,17,9,2
705,1,232,30,13,6,2
712,1,132,26,17,8,2
719,1,86,43,19,5,1
726,1,69,26,21,11,3
733,1,73,28,19,8,1
740,1,38,19,21,10,2
747,1,33,15,15,9,1
754,1,34,16,15,8,1
761,1,1,1,0,0,0
502,2,0,0,0,0,0
663,2,0,0,0,3,5
670,2,0,0,0,39,55
677,2,0,3,13,19,12
684,2,0,2,10,33,6
691,2,0,6,31,60,9
698,2,0,5,20,158,36
705,2,0,2,15,52,15
712,2,0,3,13,37,155
719,2,0,2,18,29,51
726,2,0,3,16,67,122
733,2,1,3,18,127,296
740,2,1,34,260,594,376
747,2,0,150,276,429,72
754,2,1,67,124,216,21
761,2,0,4,15,20,1
