day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,5,6,0
369,0,0,5,13,22,0
376,0,0,3,21,32,1
383,0,0,2,9,24,1
390,0,0,1,1,2,1
397,0,0,3,13,24,3
404,0,0,6,18,27,6
411,0,0,7,32,53,10
418,0,0,4,24,30,42
425,0,0,1,8,25,20
432,0,0,13,124,345,30
439,0,0,2,17,50,201
446,0,0,2,17,26,101
453,0,0,1,5,7,120
460,0,0,1,5,29,488
467,0,0,6,34,113,222
474,0,0,5,9,103,344
481,0,0,2,5,202,290
488,0,0,1,3,190,163
495,0,0,2,3,45,45
502,0,0,1,6,382,307
509,0,0,3,7,78,39
516,0,0,71,265,1089,90
523,0,0,74,217,709,32
530,0,0,77,241,586,25
537,0,0,38,113,827,13
544,0,0,46,601,651,12
551,0,0,91,809,171,9
558,0,0,351,727,111,7
565,0,0,731,702,89,9
572,0,0,323,382,100,9
579,0,48,150,138,50,7
586,0,49,71,37,20,5
593,0,9,100,130,65,9
600,0,4,123,143,50,7
607,0,22,147,133,44,6
614,0,9,51,51,20,3
621,0,6,28,31,13,3
628,0,57,71,20,5,2
635,0,16,65,64,38,6
642,0,34,59,32,9,1
649,0,816,34,13,3,1
656,0,745,111,15,5,1
663,0,1146,628,15,6,2
670,0,734,61,11,3,1
677,0,159,20,3,1,1
383,1,0,1,4,3,0
390,1,0,2,6,14,0
397,1,0,3,19,26,1
404,1,0,3,16,35,1
411,1,0,1,2,5,1
418,1,0,1,2,6,1
425,1,0,8,26,41,7
432,1,0,3,16,26,8
439,1,0,6,27,41,5
446,1,0,1,9,14,2
453,1,0,0,3,5,1
460,1,0,1,3,7,3
467,1,0,1,5,1,1
474,1,0,0,3,5,2
481,1,0,1,2,3,7
488,1,0,2,12,38,9
495,1,0,16,143,413,91
502,1,0,2,14,42,52
509,1,0,2,8,26,38
516,1,0,1,6,31,78
523,1,0,1,3,13,37
530,1,0,1,4,21,57
537,1,0,4,8,85,253
544,1,0,2,6,55,190
551,1,0,3,9,14,293
558,1,0,2,3,7,18
565,1,0,3,6,11,80
572,1,0,36,151,754,24
579,1,0,76,502,537,37
586,1,1,125,315,493,670
593,1,0,20,88,102,67
600,1,0,371,529,505,52
607,1,36,347,404,713,327
614,1,14,168,426,1075,72
621,1,13,115,362,374,34
628,1,5,174,415,335,28
635,1,36,374,642,124,16
642,1,6,126,165,51,8
649,1,2,69,99,51,5
656,1,56,122,96,41,7
663,1,12,52,52,22,5
670,1,8,37,39,19,1
677,1,123,52,20,9,3
663,2,0,0,0,7,10
670,2,0,0,0,3,47
677,2,0,0,1,1,1
