day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,4,5,0
369,0,0,3,10,17,0
376,0,0,2,17,25,1
383,0,0,2,7,19,1
390,0,0,0,0,2,0
397,0,0,3,10,19,3
404,0,0,5,15,21,4
411,0,0,5,25,42,8
418,0,0,3,19,24,33
425,0,0,1,6,20,17
432,0,0,11,100,275,24
439,0,0,1,13,41,161
446,0,0,2,14,20,81
453,0,0,1,4,6,96
460,0,0,1,4,23,392
467,0,0,4,26,91,177
474,0,0,3,7,82,275
481,0,0,1,4,162,232
488,0,0,1,2,151,130
495,0,0,1,2,36,36
502,0,0,1,5,304,246
509,0,0,2,5,63,31
516,0,0,57,210,871,73
523,0,0,58,174,565,25
530,0,0,62,192,468,20
537,0,0,30,90,659,10
544,0,0,37,481,518,10
551,0,0,74,646,137,7
558,0,0,278,581,90,6
565,0,0,580,560,71,7
572,0,0,258,304,82,8
579,0,39,120,110,41,6
586,0,39,58,30,16,3
593,0,7,80,104,52,7
600,0,3,98,114,40,5
607,0,18,117,108,36,5
614,0,7,41,41,15,2
621,0,4,22,25,11,3
628,0,44,56,16,4,2
635,0,13,52,51,30,4
642,0,26,46,25,8,1
649,0,651,27,10,3,0
656,0,605,89,13,4,1
663,0,962,514,14,6,2
670,0,588,50,9,2,1
677,0,281,36,8,2,1
684,0,134,29,4,2,0
691,0,82,12,6,2,1
698,0,63,17,10,6,2
705,0,52,12,8,3,1
712,0,3,1,1,1,0
383,1,0,1,3,2,0
390,1,0,2,5,12,0
397,1,0,2,15,21,0
404,1,0,3,12,28,1
411,1,0,0,2,4,1
418,1,0,0,1,4,1
425,1,0,7,21,33,5
432,1,0,2,13,20,7
439,1,0,4,21,33,3
446,1,0,1,7,12,1
453,1,0,0,3,3,0
460,1,0,0,3,5,2
467,1,0,0,3,1,1
474,1,0,0,2,3,1
481,1,0,0,2,2,5
488,1,0,1,9,29,7
495,1,0,12,116,331,73
502,1,0,2,11,34,42
509,1,0,2,7,21,30
516,1,0,1,4,24,64
523,1,0,0,2,11,30
530,1,0,1,3,17,47
537,1,0,3,6,67,203
544,1,0,2,4,44,151
551,1,0,2,7,12,233
558,1,0,1,2,4,15
565,1,0,1,4,9,64
572,1,0,28,121,602,20
579,1,0,60,401,428,30
586,1,0,99,251,394,537
593,1,0,16,70,82,54
600,1,0,294,422,402,42
607,1,29,277,322,570,262
614,1,12,134,339,859,58
621,1,11,93,289,299,27
628,1,4,138,330,268,23
635,1,29,296,513,99,13
642,1,4,100,132,41,7
649,1,2,55,78,41,4
656,1,43,102,89,43,6
663,1,10,50,54,23,4
670,1,6,30,32,15,0
677,1,533,94,39,17,4
684,1,554,84,21,9,1
691,1,570,398,36,23,2
698,1,464,71,26,14,3
705,1,351,45,20,9,2
712,1,13,2,1,1,0
663,2,0,0,0,5,8
670,2,0,0,0,59,86
677,2,0,4,19,30,18
684,2,0,2,7,43,9
691,2,0,8,41,85,14
698,2,0,7,28,239,53
705,2,0,2,12,35,23
712,2,0,2,3,4,18
