type,dose,5-14,15-24,25-39,40-64,65+
AstraZeneca,0,0,191,365,399,263
Cansino,0,0,5,6,1,1
Moderna,0,33,44,1,0,0
Pfizer,0,213,275,1,0,0
Sinopharm,0,752,354,442,266,109
Sputnik,0,2,131,185,334,627
AstraZeneca,1,0,199,374,408,258
Cansino,1,0,2,2,0,0
Moderna,1,34,48,10,111,308
Pfizer,1,225,281,6,1,0
Sinopharm,1,739,365,450,264,109
Sputnik,1,2,105,158,216,325
AstraZeneca,2,0,92,160,283,382
Cansino,2,0,0,0,1,1
Moderna,2,101,623,525,373,126
Pfizer,2,355,224,259,302,471
Sinopharm,2,542,0,0,0,0
Sputnik,2,2,61,56,41,20
