day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,1,0,0
369,0,0,1,2,2,0
376,0,0,1,4,3,0
383,0,0,0,1,1,0
390,0,0,0,0,0,0
397,0,0,0,0,1,0
404,0,0,1,9,15,1
411,0,0,3,9,15,1
418,0,0,1,6,13,11
425,0,0,2,8,11,28
432,0,0,3,43,127,4
439,0,0,1,5,15,92
446,0,0,1,7,24,33
453,0,0,0,0,1,13
460,0,0,1,9,19,61
467,0,0,3,12,18,172
474,0,0,1,18,59,67
481,0,0,3,10,83,70
488,0,0,1,5,19,15
495,0,0,0,1,3,6
502,0,0,1,4,117,110
509,0,0,2,3,46,39
516,0,0,30,75,364,51
523,0,0,25,77,143,23
530,0,0,24,71,181,19
537,0,0,32,83,294,9
544,0,0,21,73,242,10
551,0,0,13,249,88,5
558,0,0,35,154,82,7
565,0,0,303,444,75,7
572,0,0,92,139,53,7
579,0,22,87,93,44,5
586,0,16,19,7,5,3
593,0,5,49,67,45,7
600,0,0,109,113,25,5
607,0,9,157,151,42,6
614,0,4,33,37,9,2
621,0,7,27,26,10,1
628,0,2,12,13,4,1
635,0,4,39,40,13,3
642,0,1,15,14,5,1
649,0,287,19,22,7,1
656,0,320,76,9,3,1
663,0,143,117,10,3,1
670,0,366,30,8,4,2
677,0,103,48,3,1,0
383,1,0,0,1,0,0
390,1,0,0,1,0,0
397,1,0,1,4,4,0
404,1,0,0,1,1,0
411,1,0,0,0,0,0
418,1,0,0,0,1,0
425,1,0,1,9,15,1
432,1,0,2,5,5,1
439,1,0,2,6,12,1
446,1,0,1,2,4,1
453,1,0,0,1,1,0
460,1,0,0,0,0,0
467,1,0,0,0,0,0
474,1,0,0,0,0,1
481,1,0,0,0,0,0
488,1,0,0,2,3,0
495,1,0,4,48,131,9
502,1,0,3,22,66,30
509,1,0,0,6,14,59
516,1,0,1,18,19,12
523,1,0,0,1,6,70
530,1,0,1,2,10,42
537,1,0,0,2,7,21
544,1,0,2,6,82,83
551,1,0,2,7,19,62
558,1,0,0,1,2,6
565,1,0,1,2,7,31
572,1,0,31,75,345,17
579,1,0,13,52,81,16
586,1,0,19,100,95,111
593,1,0,7,45,49,13
600,1,0,168,268,153,10
607,1,4,113,153,202,110
614,1,4,74,160,407,87
621,1,19,37,82,149,20
628,1,3,96,173,79,17
635,1,6,41,153,72,8
642,1,0,16,42,21,5
649,1,0,17,36,26,5
656,1,0,83,127,31,5
663,1,8,50,67,28,4
670,1,6,19,21,10,1
677,1,21,6,8,7,1
663,2,0,0,0,10,26
670,2,0,0,0,1,2
677,2,0,0,0,0,0
