day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,0,3,1,0
369,0,0,1,4,3,0
376,0,0,1,7,6,0
383,0,0,1,3,3,0
390,0,0,0,1,1,0
397,0,0,0,1,1,0
404,0,0,2,16,28,3
411,0,0,6,16,29,2
418,0,0,2,12,25,22
425,0,0,3,15,20,52
432,0,0,6,83,243,9
439,0,0,1,9,28,174
446,0,0,1,14,47,63
453,0,0,1,1,3,24
460,0,0,2,18,35,117
467,0,0,5,22,33,328
474,0,0,1,33,112,127
481,0,0,7,19,158,132
488,0,0,2,10,37,30
495,0,0,1,1,5,10
502,0,0,3,7,223,208
509,0,0,3,6,87,74
516,0,0,57,142,692,97
523,0,0,47,147,272,45
530,0,0,47,134,345,36
537,0,0,61,158,561,16
544,0,0,39,140,462,19
551,0,0,26,472,168,9
558,0,0,67,294,156,14
565,0,0,577,845,143,14
572,0,0,175,265,100,14
579,0,56,125,177,84,9
586,0,59,6,13,9,6
593,0,18,84,128,87,14
600,0,1,208,215,48,10
607,0,28,281,286,80,10
614,0,14,56,69,17,3
621,0,22,37,50,20,2
628,0,5,20,25,8,2
635,0,12,66,75,25,6
642,0,3,27,27,9,1
649,0,549,33,41,13,2
656,0,739,15,18,5,1
663,0,49,4,9,1,1
383,1,0,0,2,1,0
390,1,0,1,1,1,0
397,1,0,2,9,9,0
404,1,0,0,3,1,0
411,1,0,0,1,1,0
418,1,0,1,1,2,0
425,1,0,2,18,29,3
432,1,0,3,10,9,1
439,1,0,3,12,22,1
446,1,0,1,4,8,1
453,1,0,1,3,3,0
460,1,0,0,0,1,1
467,1,0,0,1,1,0
474,1,0,0,0,1,1
481,1,0,0,0,1,1
488,1,0,0,3,7,1
495,1,0,9,91,248,16
502,1,0,5,41,126,57
509,1,0,1,10,27,111
516,1,0,3,33,35,22
523,1,0,1,3,10,132
530,1,0,1,5,20,81
537,1,0,1,4,13,39
544,1,0,4,12,157,158
551,1,0,4,13,36,119
558,1,0,0,2,3,10
565,1,0,2,3,14,60
572,1,0,59,142,656,32
579,1,0,25,99,154,31
586,1,0,37,189,180,211
593,1,0,12,86,92,24
600,1,0,321,511,291,19
607,1,15,206,290,384,208
614,1,15,133,304,776,165
621,1,69,35,156,283,39
628,1,11,177,329,151,31
635,1,22,68,290,137,16
642,1,0,30,79,41,9
649,1,0,31,68,50,10
656,1,1,157,241,57,9
663,1,11,28,58,24,4
